metric,value,dataset,n,methodology,statistically_defensible,limitations,source_path
total distinct natural cases,180,"natural, all batches pooled",180,"Sum of disjoint batches (n30, batch1, batch2, final_validation); targeted confirmed subset of n30, excluded from sum.",True,"Case counts, not an accuracy claim.",case_census.total_distinct_cases_all_batches
synthetic stress cases,59,synthetic (deliberately corrupted),59,"Paired corrupted (c1) / true (c2) claim per case, real DeBERTa verification, real GPU Qwen correction.",True,Synthetic corruption -- not representative of natural error rates.,section_A_synthetic.n_cases
claims -- n30_modeB_bare_v0,88,run_B_n30.jsonl,30,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.n30_modeB_bare_v0.n_claims
evidence-matched claims -- n30_modeB_bare_v0,38,run_B_n30.jsonl,30,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.n30_modeB_bare_v0.n_matched
evidence coverage % -- n30_modeB_bare_v0,43.2,run_B_n30.jsonl,30,n_matched / n_claims * 100.,True,,section_B_natural_regimes.n30_modeB_bare_v0.coverage_pct
verdict count [NOT_ENOUGH_INFORMATION] -- n30_modeB_bare_v0,38,run_B_n30.jsonl,30,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.n30_modeB_bare_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [NO_EVIDENCE] -- n30_modeB_bare_v0,50,run_B_n30.jsonl,30,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.n30_modeB_bare_v0.verdict_counts.NO_EVIDENCE
claims -- n30_modeC_bare_v0,88,run_C_n30.jsonl,30,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.n30_modeC_bare_v0.n_claims
evidence-matched claims -- n30_modeC_bare_v0,38,run_C_n30.jsonl,30,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.n30_modeC_bare_v0.n_matched
evidence coverage % -- n30_modeC_bare_v0,43.2,run_C_n30.jsonl,30,n_matched / n_claims * 100.,True,,section_B_natural_regimes.n30_modeC_bare_v0.coverage_pct
verdict count [NOT_ENOUGH_INFORMATION] -- n30_modeC_bare_v0,38,run_C_n30.jsonl,30,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.n30_modeC_bare_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [NO_EVIDENCE] -- n30_modeC_bare_v0,50,run_C_n30.jsonl,30,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.n30_modeC_bare_v0.verdict_counts.NO_EVIDENCE
claims -- targeted_modeB_bare_v0,29,run_natural_targeted.jsonl,11,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.targeted_modeB_bare_v0.n_claims
evidence-matched claims -- targeted_modeB_bare_v0,14,run_natural_targeted.jsonl,11,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.targeted_modeB_bare_v0.n_matched
evidence coverage % -- targeted_modeB_bare_v0,48.3,run_natural_targeted.jsonl,11,n_matched / n_claims * 100.,True,,section_B_natural_regimes.targeted_modeB_bare_v0.coverage_pct
verdict count [NOT_ENOUGH_INFORMATION] -- targeted_modeB_bare_v0,14,run_natural_targeted.jsonl,11,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.targeted_modeB_bare_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [NO_EVIDENCE] -- targeted_modeB_bare_v0,15,run_natural_targeted.jsonl,11,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.targeted_modeB_bare_v0.verdict_counts.NO_EVIDENCE
claims -- batch1_bare_v0,251,natural_candidates_50_gpu_bare.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.batch1_bare_v0.n_claims
evidence-matched claims -- batch1_bare_v0,168,natural_candidates_50_gpu_bare.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.batch1_bare_v0.n_matched
evidence coverage % -- batch1_bare_v0,66.9,natural_candidates_50_gpu_bare.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.batch1_bare_v0.coverage_pct
verdict count [NO_EVIDENCE] -- batch1_bare_v0,83,natural_candidates_50_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_bare_v0.verdict_counts.NO_EVIDENCE
verdict count [NOT_ENOUGH_INFORMATION] -- batch1_bare_v0,167,natural_candidates_50_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_bare_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [CONTRADICTED] -- batch1_bare_v0,1,natural_candidates_50_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_bare_v0.verdict_counts.CONTRADICTED
claims -- batch1_labeled_v0,251,natural_candidates_50_gpu_labeled.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.batch1_labeled_v0.n_claims
evidence-matched claims -- batch1_labeled_v0,168,natural_candidates_50_gpu_labeled.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.batch1_labeled_v0.n_matched
evidence coverage % -- batch1_labeled_v0,66.9,natural_candidates_50_gpu_labeled.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.batch1_labeled_v0.coverage_pct
verdict count [NO_EVIDENCE] -- batch1_labeled_v0,83,natural_candidates_50_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_labeled_v0.verdict_counts.NO_EVIDENCE
verdict count [NOT_ENOUGH_INFORMATION] -- batch1_labeled_v0,161,natural_candidates_50_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_labeled_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [ENTAILED] -- batch1_labeled_v0,5,natural_candidates_50_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_labeled_v0.verdict_counts.ENTAILED
verdict count [CONTRADICTED] -- batch1_labeled_v0,2,natural_candidates_50_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch1_labeled_v0.verdict_counts.CONTRADICTED
claims -- batch2_bare_v0,236,natural_candidates_batch2_gpu_bare.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.batch2_bare_v0.n_claims
evidence-matched claims -- batch2_bare_v0,116,natural_candidates_batch2_gpu_bare.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.batch2_bare_v0.n_matched
evidence coverage % -- batch2_bare_v0,49.2,natural_candidates_batch2_gpu_bare.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.batch2_bare_v0.coverage_pct
verdict count [NO_EVIDENCE] -- batch2_bare_v0,120,natural_candidates_batch2_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_bare_v0.verdict_counts.NO_EVIDENCE
verdict count [NOT_ENOUGH_INFORMATION] -- batch2_bare_v0,113,natural_candidates_batch2_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_bare_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [ENTAILED] -- batch2_bare_v0,2,natural_candidates_batch2_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_bare_v0.verdict_counts.ENTAILED
verdict count [CONTRADICTED] -- batch2_bare_v0,1,natural_candidates_batch2_gpu_bare.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_bare_v0.verdict_counts.CONTRADICTED
claims -- batch2_labeled_v0,236,natural_candidates_batch2_gpu_labeled.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.batch2_labeled_v0.n_claims
evidence-matched claims -- batch2_labeled_v0,116,natural_candidates_batch2_gpu_labeled.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.batch2_labeled_v0.n_matched
evidence coverage % -- batch2_labeled_v0,49.2,natural_candidates_batch2_gpu_labeled.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.batch2_labeled_v0.coverage_pct
verdict count [NO_EVIDENCE] -- batch2_labeled_v0,120,natural_candidates_batch2_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_labeled_v0.verdict_counts.NO_EVIDENCE
verdict count [NOT_ENOUGH_INFORMATION] -- batch2_labeled_v0,102,natural_candidates_batch2_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_labeled_v0.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [CONTRADICTED] -- batch2_labeled_v0,3,natural_candidates_batch2_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_labeled_v0.verdict_counts.CONTRADICTED
verdict count [ENTAILED] -- batch2_labeled_v0,11,natural_candidates_batch2_gpu_labeled.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.batch2_labeled_v0.verdict_counts.ENTAILED
claims -- final_A_bare_v0_baseline,209,final_gpu_validation_A.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.final_A_bare_v0_baseline.n_claims
evidence-matched claims -- final_A_bare_v0_baseline,132,final_gpu_validation_A.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.final_A_bare_v0_baseline.n_matched
evidence coverage % -- final_A_bare_v0_baseline,63.2,final_gpu_validation_A.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.final_A_bare_v0_baseline.coverage_pct
verdict count [NOT_ENOUGH_INFORMATION] -- final_A_bare_v0_baseline,129,final_gpu_validation_A.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_A_bare_v0_baseline.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [NO_EVIDENCE] -- final_A_bare_v0_baseline,77,final_gpu_validation_A.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_A_bare_v0_baseline.verdict_counts.NO_EVIDENCE
verdict count [CONTRADICTED] -- final_A_bare_v0_baseline,3,final_gpu_validation_A.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_A_bare_v0_baseline.verdict_counts.CONTRADICTED
claims -- final_B_bare_v1_assertionspans_narrow,209,final_gpu_validation_B.jsonl,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.n_claims
evidence-matched claims -- final_B_bare_v1_assertionspans_narrow,147,final_gpu_validation_B.jsonl,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.n_matched
evidence coverage % -- final_B_bare_v1_assertionspans_narrow,70.3,final_gpu_validation_B.jsonl,50,n_matched / n_claims * 100.,True,,section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.coverage_pct
verdict count [NOT_ENOUGH_INFORMATION] -- final_B_bare_v1_assertionspans_narrow,144,final_gpu_validation_B.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [NO_EVIDENCE] -- final_B_bare_v1_assertionspans_narrow,62,final_gpu_validation_B.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.verdict_counts.NO_EVIDENCE
verdict count [CONTRADICTED] -- final_B_bare_v1_assertionspans_narrow,3,final_gpu_validation_B.jsonl,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_B_bare_v1_assertionspans_narrow.verdict_counts.CONTRADICTED
