metric_id,metric_name,category,dataset,n,baseline,current,delta,unit,statistical_test,statistic,p_value,confidence_interval,fresh_or_historical,metric_class,evidence_grade,source_artifact,safe_interpretation,prohibited_interpretation
M01,Controlled benchmark accuracy (bare),verifier,GOLD-01_controlled_verifier_benchmark,420,,0.7333333333333333,,fraction,,,,,FRESH (STEP 4),gold_metric,A,evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,Verifier accuracy under bare premise framing on the 420-item controlled GOLD benchmark.,"Applies to natural, non-curated legal text."
M02,Controlled benchmark accuracy (labeled),verifier,GOLD-01_controlled_verifier_benchmark,420,0.7333333333333333,0.9714285714285714,0.23809523809523814,fraction,McNemar,98.01,4.1627504389864034e-23,,FRESH (STEP 4/7),gold_metric,A,evaluation/ablation/ABLATION_SUMMARY.json (factor=premise_framing),Labeled framing substantially improves verifier accuracy on the controlled GOLD benchmark.,Equivalent improvement on natural legal text; a legal-correctness claim.
M03,Controlled benchmark macro F1 (bare -> labeled),verifier,GOLD-01_controlled_verifier_benchmark,420,0.7486646586649771,0.9683612674297156,0.2196966087647385,fraction,McNemar + exact sign test,98.01,4.1627504389864034e-23,,FRESH (STEP 4/7),gold_metric,A,evaluation/ablation/ABLATION_SUMMARY.json (factor=premise_framing),"Macro F1 improvement on the controlled GOLD benchmark, exact sign test p=1.5777e-30.",A natural-data accuracy/F1 claim.
M04,Synthetic stress contradiction recall (bare -> labeled),verifier,GOLD-02_synthetic_stress_set,59,0.3559322033898305,0.4576271186440678,0.1016949152542373,fraction,,,,,FRESH (STEP 4),gold_metric,A,evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,"Contradiction recall on the synthetic (deliberately corrupted, GOLD) stress set.",A natural-data accuracy claim; every record here is contradictory by construction.
M05,"Evidence coverage, 209-claim paired natural set (v0 -> v0+v1)",evidence/retrieval,209_claim_paired_natural_evaluation,209,0.631578947368421,0.7033492822966507,0.0717703349282297,fraction,McNemar,13.066666666666666,0.00030059760744045107,,FRESH REPRODUCTION (STEP 6),natural_metric,A,evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,Evidence-v1 materially increased observed evidence coverage on the paired natural evaluation.,Increased legal correctness or accuracy on natural data.
M06,"Evidence coverage, 588-claim natural aggregate (current config)",evidence/retrieval,588_claim_natural_aggregate,588,,0.6632653061224489,,fraction,,,,,FRESH (STEP 6),natural_metric,,evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,Descriptive evidence-coverage rate on the 588-claim natural aggregate under the current production config.,A correctness or accuracy figure -- no independent label exists for this data.
M07,"Verdict distribution, 588-claim natural aggregate",natural-data descriptive metrics,588_claim_natural_aggregate,588,,"{""NOT_ENOUGH_INFORMATION"": 364, ""NO_EVIDENCE"": 198, ""ENTAILED"": 21, ""CONTRADICTED"": 5}",,count,,,,,FRESH (STEP 6),natural_metric,,evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,Observed verdict counts on the 588-claim natural aggregate (descriptive only).,"An accuracy or F1 breakdown -- these are raw verifier outcome counts, not correctness labels."
M08,Claim parser fix: per-case evidence-count improvement,parser,n30_reparse,30,0,6,,count_of_cases,exact two-sided sign test,,0.03125,,HISTORICAL REPRODUCTION / NOT FRESH (STEP 7),natural_metric,B,evaluation/ablation/ABLATION_SUMMARY.json (factor=claim_parser_fix),The parser fix (commit 223eb9d) increased per-case evidence-matched counts with zero cases worsened.,Improved legal accuracy.
M09,"Natural ENTAILED reached, 147-claim evidence-matched subset (bare -> labeled)",verifier,final_validation_Arm_B_evidence_matched_subset,147,0,13,13,count,,,,,HISTORICAL (outputs/final_validation_bare_vs_labeled_cpu_metrics.json),natural_metric,B,research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,"Descriptive count of real natural claims reaching a verifier verdict of ENTAILED, before vs. after the framing change, on the same 147 claims.","An accuracy or correctness metric -- ENTAILED is a model verdict, not a validated fact."
M10,"Natural CONTRADICTED count, 147-claim subset (bare -> labeled)",verifier,final_validation_Arm_B_evidence_matched_subset,147,3,3,0,count,,,,,HISTORICAL,natural_metric,,research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,CONTRADICTED count unchanged (3 -> 3) between framings on this subset.,Any correctness claim about which contradictions are legally accurate.
M11,"Targeted correction shipping (bare -> labeled, isolated)",correction,final_validation_batch_targeted,,0/5,1/10,,count/count,none (n too small),,,,"HISTORICAL, GPU-dependent, NOT re-executed",natural_metric,C,research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,"Directional, isolated-by-design shift in shipped corrections; not statistically supported.",Statistical significance; that any lever solved correction.
M12,Cumulative correction shipping rate (project history),correction,all_natural_correction_attempts,56,,0.018000000000000002,,fraction,,,,,"HISTORICAL (cumulative, GPU-dependent)",natural_metric,D,research/prototype/outputs/final_metrics.json (section_D_correction_safety_cumulative),1 of 56 correction attempts across this project's entire history has ever shipped (1.8%) -- not a stable rate estimate at this n.,A statistically meaningful success-rate estimate.
M13,Synthetic correction shipping rate (labeled),correction,GOLD-02_synthetic_stress_set,36,,0.7222222222222222,,fraction,,,,,"HISTORICAL, GPU-dependent",natural_metric,,research/prototype/outputs/final_metrics.json (section_A_synthetic.correction_labeled),"26/36 (72.2%) synthetic (deliberately corrupted, GOLD-adjacent) corrections shipped under labeled framing.","Equivalent to, or predictive of, the natural-data correction shipping rate (1.8% cumulative) -- these are disjoint populations with different base rates by construction."
M14,Unsafe corrections shipped (cumulative),safety,all_correction_attempts_project_history,122,,0,,count,,,,,HISTORICAL,natural_metric,,research/prototype/outputs/final_metrics.json,0 unsafe corrections observed in the tested correction history (56 natural + 66 synthetic attempts).,That 0 observed incidents proves unsafe corrections are impossible.
M15,Full regression suite result,component behavior,research/prototype/tests/,205,,205,,tests_passed,,,,,"FRESH (re-run at every step, STEP 2-7)",behavior_metric,,evaluation/components/run_metadata.json (full_suite_result); evaluation/PROVENANCE.md STEP 7 section,"205/205 existing tests pass, unchanged since STEP 2.",A statement about statistical or legal accuracy.
