claim_id,claim,value,source_artifact,classification,freshness,evidence_grade,safe_interpretation,prohibited_interpretation
C01,Controlled benchmark accuracy (bare),0.7333333333333333,evaluation/metrics/CANONICAL_METRICS.csv (M01); evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD,FRESH (STEP 4),A,Verifier accuracy under bare premise framing on the 420-item controlled GOLD benchmark.,Applies to natural non-curated legal text.
C02,Controlled benchmark accuracy (labeled),0.9714285714285714,evaluation/metrics/CANONICAL_METRICS.csv (M02); evaluation/ablation/ABLATION_SUMMARY.json,GOLD,FRESH (STEP 4/7),A,Labeled framing substantially improves verifier accuracy on the controlled GOLD benchmark (McNemar chi2=98.01 p=4.16e-23).,Equivalent improvement on natural legal text; a legal-correctness claim.
C03,Controlled benchmark macro F1 bare,0.7486646586649771,evaluation/metrics/CANONICAL_METRICS.csv (M03),GOLD,FRESH (STEP 4),A,Macro F1 under bare framing on GOLD-01.,A natural-data accuracy/F1 claim.
C04,Controlled benchmark macro F1 labeled,0.9683612674297156,evaluation/metrics/CANONICAL_METRICS.csv (M03); evaluation/ablation/ABLATION_SUMMARY.json,GOLD,FRESH (STEP 4/7),A,"Macro F1 improvement on GOLD-01, exact sign test p=1.5777e-30.",A natural-data accuracy/F1 claim.
C05,Synthetic stress contradiction recall bare,0.3559322033898305,evaluation/metrics/CANONICAL_METRICS.csv (M04); evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,GOLD,FRESH (STEP 4),A,Contradiction recall on the synthetic (deliberately corrupted) GOLD-adjacent stress set under bare framing.,A natural-data accuracy claim; every record is contradictory by construction.
C06,Synthetic stress contradiction recall labeled,0.4576271186440678,evaluation/metrics/CANONICAL_METRICS.csv (M04),GOLD,FRESH (STEP 4),A,Contradiction recall on the synthetic stress set under labeled framing.,A natural-data accuracy claim.
C07,"209-claim paired evidence coverage, v0 pool",0.631578947368421,evaluation/metrics/CANONICAL_METRICS.csv (M05); evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,METRIC-ONLY,"FRESH (CPU re-verification, STEP 6)",A,Observed evidence-coverage rate under the v0-only evidence pool on the 209-claim paired natural set.,A correctness or accuracy figure on natural data.
C08,"209-claim paired evidence coverage, v0+v1 pool",0.7033492822966507,evaluation/metrics/CANONICAL_METRICS.csv (M05); paired_209_metrics.json,METRIC-ONLY,"FRESH (CPU re-verification, STEP 6)",A,Evidence-v1 materially increased observed evidence coverage vs. v0-only on the same 209 claims (McNemar chi2=13.0667 p=0.00030060; exact sign test p=6.10e-05; gained=15 lost=0 unchanged=194).,Increased legal correctness or accuracy on natural data.
C09,"209-claim GPU generation experiment, exact GPU reproduction",n_claims=209; Arm A matched=132; Arm B matched=147; corrections shipped 0/0; unsafe 0/0; peak_vram_mib=7547; 50/50 generated texts byte-identical,evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json; evaluation/metrics/GPU_REPRODUCTION_CROSSCHECK.md (Experiment 3),GPU-REPRODUCED,FRESH GPU REPRODUCED (STEP 10B),A (reproducibility confirmation; does not raise the underlying M05 evidence grade beyond its existing A),"The underlying Qwen generation that produced outputs/final_gpu_validation_{A,B}.jsonl is independently, exactly reproducible on a second GPU machine -- same model/config/seed/greedy-decoding yields byte-identical output.",That this constitutes new statistical evidence beyond STEP 6's already-SUPPORTED M05 finding; a natural-data accuracy or correctness claim.
C10,"Targeted labeled-framing correction validation, exact GPU reproduction",status_counts identical (scope_violation=3 failed=6 corrected=1); shipped=1; unsafe=0; 10/10 corrected texts byte-identical,evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json; evaluation/metrics/GPU_REPRODUCTION_CROSSCHECK.md (Experiment 1),GPU-REPRODUCED,FRESH GPU REPRODUCED (STEP 10),"C (unchanged from STEP 7 -- n=10 remains too small/narrow for a stronger grade; reproducibility confirmed, statistical power unchanged)",This specific correction-validation experiment reproduces exactly on a second GPU machine.,Statistical significance; that any lever solved correction.
