artifact,source,purpose,data,generation_method,status
M01_headline_baseline_vs_modified.csv,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,Four strongest baseline-vs-modified comparisons on one 0-1 axis,GOLD-01 / GOLD-02 / 209-claim paired natural (n=420 / 59 / 209),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH, grade A -- Heterogeneous metric types on a shared axis; bar heights are NOT interchangeable across categories. Natural evidence coverage is not accuracy."
M02_gold01_overall.csv,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,"GOLD-01 accuracy and macro F1, baseline (bare) vs modified (labeled)",GOLD-01_controlled_verifier_benchmark (n=420),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade A -- Curated controlled benchmark; hypotheses are mechanically constructed, not free-running generated claims."
M03_gold01_per_class.csv,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01 per-class precision / recall / F1 for both systems,GOLD-01_controlled_verifier_benchmark (n=420),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade A -- Precision/recall are legitimate here ONLY because GOLD-01 carries real per-item labels; no natural-data figure in this package uses them."
M04_gold01_confusion.csv,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,"GOLD-01 3x3 confusion matrices, baseline vs modified",GOLD-01_controlled_verifier_benchmark (n=420),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade A -- Counts are per-item verifier decisions against GOLD labels."
M05_gold02_synthetic_stress.csv,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,GOLD-02 synthetic stress-set contradiction recall and outcome split,GOLD-02_synthetic_stress_set (n=59),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade A -- Every record is CONTRADICTED by construction, so recall here is a detection-sensitivity measure on deliberately corrupted claims — it is not a natural-data accuracy figure."
M06_evidence_coverage_209_paired.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,"Paired 209-claim evidence coverage, baseline v0 pool vs modified v0+v1 pool",209_claim_paired_natural_evaluation (n=209),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH REPRODUCTION (CPU), grade A -- Coverage = retrieval found a usable record. NOT a correctness or accuracy measure."
M06b_evidence_209_discordance.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,McNemar discordant-pair counts behind the 209-claim coverage result,209_claim_paired_natural_evaluation (n=209),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH REPRODUCTION (CPU), grade A -- Paired binary event: claim received usable evidence."
M07_evidence_coverage_588_corpus.csv,research/prototype/outputs/evidence_coverage_v0_vs_v1.json,"Corpus-level evidence coverage over all 588 pooled natural claims, v0 vs v0+v1",588 pooled natural claims (all experiments) (n=588),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (corpus-level replay, CPU), grade B -- Corpus-level, not a paired-arm experiment; complements the paired 209 result."
M08_verdict_distribution.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,Verifier verdict distributions on natural claims,209-claim paired + 588-claim aggregate (n=209 / 588),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade n/a (descriptive) -- Verdict counts are the NLI model's own outputs, NOT correctness labels."
M09_premise_framing_natural_batches.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/batches/batches_analysis.json,"Premise-framing effect on natural-data verdicts (batch1 n=251, batch2 n=236)",natural_candidates batch1 / batch2 (n=251 / 236),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL, grade B -- Same claims and same v0 evidence pool in each pair; only premise framing differs. Verdict shifts are decisiveness, not measured correctness."
