system,premise_framing,true_label,predicted_label,count,n_items,source_artifact
baseline,bare,ENTAILED,ENTAILED,92,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,ENTAILED,CONTRADICTED,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,ENTAILED,NOT_ENOUGH_INFORMATION,92,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,CONTRADICTED,ENTAILED,2,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,CONTRADICTED,CONTRADICTED,103,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,CONTRADICTED,NOT_ENOUGH_INFORMATION,13,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,NOT_ENOUGH_INFORMATION,ENTAILED,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,NOT_ENOUGH_INFORMATION,CONTRADICTED,5,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,bare,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,113,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,ENTAILED,ENTAILED,184,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,ENTAILED,CONTRADICTED,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,ENTAILED,NOT_ENOUGH_INFORMATION,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,CONTRADICTED,ENTAILED,5,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,CONTRADICTED,CONTRADICTED,110,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,CONTRADICTED,NOT_ENOUGH_INFORMATION,3,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,NOT_ENOUGH_INFORMATION,ENTAILED,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,NOT_ENOUGH_INFORMATION,CONTRADICTED,4,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,labeled,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,114,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
