experiment_id,experiment_name,component,before_arm_system,after_arm_system,commit_of_run,dataset,n,labels,model,config_lever_varied,seed,metric,methodology,statistical_test_and_p,result,source_artifact_path,freshness,evidence_grade,decision,reason_for_decision,v2_canonical_decision,v2_status
E01,GOLD-01 controlled verifier benchmark (STEP 4 run),verifier (NLI),O-CFG-single-lever (premise_framing=bare; script calls NLIVerifier.verify directly so no other pipeline lever is engaged),LATEST-single-lever (premise_framing=labeled),"ccbe73f (2026-09-03), executed 2026-09-05",GOLD-01 controlled_verifier_benchmark.jsonl (sha256 962de21e...),420,"GOLD (deterministic construction rule, never a model prediction)","MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli, CPU",verification.premise_framing bare -> labeled,"none required (greedy argmax, deterministic)","accuracy, macro F1, per-class P/R/F1, 3x3 confusion matrix",Same 420 items scored twice; only the premise string differs. Gold labels from construction rules over canonical statute text.,"McNemar continuity-corrected chi2=98.01 p=4.1627e-23; exact sign test p=1.5777e-30. I RECOMPUTED BOTH FROM THE RAW PREDICTION FILES: b=0, c=100 - VERIFIED",accuracy 0.7333 -> 0.9714; macro F1 0.7487 -> 0.9684 - VERIFIED AT SOURCE,"research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json (+ gold01_predictions_{bare,labeled}.jsonl)","historical run 2026-09-05 (pinned venv py3.11.9 / torch 2.2.2+cu121, CPU)",GOLD,REUSABLE (only with a mandatory construction caveat),"Genuinely isolates premise_framing; src/verifier.py changed only by inert truncation instrumentation between ccbe73f and HEAD (verified by diff), so no later change invalidates it. BUT 92 of the 100 discordant items are E2_verbatim_attributed (0/59 -> 59/59) and E4_paraphrase_attributed (0/33 -> 33/33) - items whose HYPOTHESIS names the provision while the bare PREMISE deliberately omits it. On the 269 non-attributed items bare scores 260 and labeled 261 (one item). The headline effect is therefore ~92% a benchmark-construction artifact and must be reported as such.",REUSABLE,SUPERSEDED BY V2 FRESH RERUN (gold01_v2_metrics.json) - reproduced EXACTLY
E02,"Controlled verifier benchmark, original Aug-26 run (independent replicate of E01)",verifier (NLI),O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"54c98d2 era, executed 2026-08-26",same GOLD-01 420-item file,420,GOLD,"DeBERTa-v3-base-mnli-fever-anli, CPU",verification.premise_framing,n/a,"accuracy, macro F1","scripts/run_controlled_benchmark.py --premise-framing {bare,labeled}",none computed in this artifact,accuracy 0.7333 / macro F1 0.748664658664977 (bare); 0.9714 / 0.9683612674297155 (labeled) - BIT-IDENTICAL to E01 ten days later,research/prototype/outputs/controlled_benchmark_deberta_metrics.json ; research/prototype/outputs/controlled_benchmark_deberta_labeled_metrics.json,historical 2026-08-26,GOLD,REUSABLE (as replication evidence for E01),Independent re-execution on a different date with a different script produced identical numbers to 13 decimal places - strong determinism evidence. Carries the same attribution caveat as E01.,REUSABLE,SUPERSEDED BY V2 FRESH RERUN (gold02_v2_metrics.json) - reproduced EXACTLY
E03,"GOLD-02 synthetic stress set, contradiction detection",verifier (NLI),O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"ccbe73f, executed 2026-09-05",GOLD-02 run_synthetic_stress.jsonl (sha256 2dba39cc...),59,DETERMINISTIC_SYNTHETIC (CONTRADICTED by construction for all 59; no literal expected_label field),"DeBERTa-v3-base-mnli-fever-anli, CPU",verification.premise_framing,42 (recorded in the sibling framing-comparison scripts),contradiction recall,All 59 items are corrupted-by-construction; recall = fraction verified CONTRADICTED,NONE performed (the package is explicit about this),recall 0.3559 (21/59) -> 0.4576 (27/59) - VERIFIED AT SOURCE,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,historical 2026-09-05,DETERMINISTIC_SYNTHETIC,REUSABLE (with denominator caveat),"Valid single-lever ablation, triple-replicated (Aug-26 CPU, Aug-27 GPU n=59, Sep-05 CPU all give 0.3559/0.4576). DENOMINATOR FLAG: the same file reports TWO recalls per arm - 0.3559/0.4576 over n=59 (includes 15 NO_EVIDENCE claims that never reached the verifier) and 0.4773/0.6136 over the n=44 that did. per_class.CONTRADICTED.support says 59 while tp+fn=44, an internal inconsistency. Headline uses the n=59 denominator. per_class precision 1.0 is degenerate (single-class dataset).",REUSABLE,
E04,"Evidence coverage, 209-claim paired natural evaluation",evidence retrieval,"O-CFG-single-lever (use_evidence_v1=false, 59-record pool); all OTHER levers at LATEST for the fresh columns","LATEST-single-lever (use_evidence_v1=true, 136-record pool)","ccbe73f (2026-09-03), executed 2026-09-05","209 claim positions from 50 fresh cases in final_gpu_validation_{A,B}.jsonl",209,"NONE (natural, unlabeled - METRIC-ONLY)",DeBERTa-v3-base-mnli-fever-anli for verdict columns; evidence matching is model-free,use_evidence_v1 false -> true,n/a (deterministic),"evidence coverage (claim received a usable evidence record, yes/no)","Paired: same 209 claim positions, same generated text, re-matched against the 59- and 136-record pools; re-verified under current labeled framing for BOTH arms","McNemar continuity-corrected chi2=13.0667 p=0.000301 (b=15 gained, c=0 lost); exact sign test p=6.1035e-05 - arithmetic VERIFIED",63.16% (132/209) -> 70.33% (147/209) - VERIFIED AT SOURCE,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,FRESH re-analysis 2026-09-05 over HISTORICAL 2026-08-27 GPU-generated text,METRIC_ONLY (A-graded within its class),REUSABLE (with a structural-significance caveat),"historical_* vs fresh_* RESOLVED: the COVERAGE numbers are IDENTICAL under both columns (historical NO_EVIDENCE 77 vs 62 gives the same 132/209 and 147/209). The historical/fresh split only affects the VERDICT columns (historical arm B was scored under bare framing; fresh scores both arms under labeled). So 63.2 -> 70.3 is unambiguous and comes from fresh_evidence_coverage_arm_A/B. CAVEAT: the v1 pool is a strict superset of v0 (59 -> 136 records), so c=0 zero-regressions is structurally guaranteed, not an empirical finding - a McNemar/sign test on a monotone superset is close to tautological and should be presented as a coverage count, not a hypothesis test.",REUSABLE,
E05,"Evidence coverage, 588-claim pooled corpus",evidence retrieval,O-CFG-single-lever (use_evidence_v1=false),LATEST-single-lever (use_evidence_v1=true),"4ca3fad era, executed 2026-08-27",588 claims re-parsed from 4 pooled outputs/*.jsonl generated-text files,588,"NONE (natural, METRIC-ONLY)",no model at all (claim_parser + evidence_matcher only),use_evidence_v1 false -> true,n/a (fully deterministic),evidence coverage,"Same claims re-matched against both pools; pure CPU, no inference",NONE performed,"60.2% (354/588) -> 66.3% (390/588), +36 newly covered, 0 lost - VERIFIED AT SOURCE",research/prototype/outputs/evidence_coverage_v0_vs_v1.json,historical 2026-08-27,METRIC_ONLY,RERUN_REQUIRED (cheap; currently stale),"SOURCE-POINTER ERROR: PROJECT_CONTEXT/04 names evaluation/metrics/EVIDENCE_STRENGTH_MATRIX.md as the canonical source - that file does NOT contain 60.2, 66.3 or 588 anywhere. The real source is outputs/evidence_coverage_v0_vs_v1.json. STALENESS: produced by the pre-c250a0e parser; the Art./Arts. fix adds up to +6 claims in one of the four source files, so n=588 is no longer what HEAD's parser yields. Script is model-free and runs in seconds on CPU.",RERUN_REQUIRED,
E06,"588-claim natural aggregate, verdict + confidence distribution",verifier / retrieval,"n/a (single arm, LATEST config only)","LATEST (v1 pool, labeled framing)","ccbe73f, executed 2026-09-05",588 claims over 133 distinct texts,588,NONE (METRIC-ONLY),"DeBERTa-v3-base-mnli-fever-anli, CPU",none (descriptive),n/a,"verdict distribution, confidence by verdict, coverage",Fresh CPU re-parse + re-match + re-verify over historical generated text,none,coverage 0.6633; NEI 364 / NO_EVIDENCE 198 / ENTAILED 21 / CONTRADICTED 5 - VERIFIED,research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,FRESH analysis 2026-09-05 over historical text,METRIC_ONLY,"NOT_APPLICABLE (descriptive, single-arm)","Not an ORIGINAL-vs-LATEST comparison: one arm only. Contains NO v0 arm, so it cannot supply the 60.2% figure that PROJECT_CONTEXT pairs with it.",NOT_APPLICABLE,
E07,"Claim-parser fix, n=30 reparse (v1 artifact, the one the docs cite)",claim parser,"O-CODE-ish (parser output frozen inside run_A_n30.jsonl, generated pre-223eb9d)","intermediate (parser at 2026-08-26, 223eb9d era - NOT HEAD)","223eb9d/54c98d2 era, executed 2026-08-26","run_A_n30.jsonl, 30 generated texts",30 documents (88 -> 93 claims),NONE,no model (parser + matcher only),claim_parser + evidence_matcher code version,42 (for the original generation),per-case count of claims resolving to usable evidence,"Same 30 texts; OLD arm read from stored citation_extracted/evidence fields, NEW arm recomputed with the then-current parser","exact two-sided sign test on the 6 non-tied pairs, p=0.03125 - I RECOUNTED: 6 improved, 0 worsened, 24 unchanged; totals 38 -> 51 - VERIFIED","6/30 improved, 0 worsened, p=0.03125 - VERIFIED AT SOURCE",research/prototype/outputs/parser_fix_before_after_n30.json (cited via results_phase3/tables/detailed_metrics/parser_metrics.csv),historical 2026-08-26,BEHAVIORAL / METRIC_ONLY,RERUN_REQUIRED (superseded in-repo and stale vs HEAD),"SUPERSEDED IN-REPO: outputs/parser_fix_before_after_n30_v2_postfix.json (E08, one day later) reports 10/30 improved, 0 worsened, 38 -> 57, p=0.00195 on the same 30 texts. The canonical package quotes the WEAKER older file. Neither reflects HEAD (c250a0e is later still). CONFOUND: the OLD arm's evidence match used whatever pool existed at generation time, so the parser fix is not perfectly isolated from the evidence-pool state.",RERUN_REQUIRED,
E08,"Claim-parser fix, n=30 reparse (v2 post-fix artifact, uncited)",claim parser,O-CODE-ish (stored pre-fix parser output in run_A_n30.jsonl),intermediate (parser at 2026-08-27),"4ca3fad era, executed 2026-08-27","run_A_n30.jsonl, same 30 texts",30 documents,NONE,no model,claim_parser + evidence_matcher code version,n/a,per-case evidence-matched count,identical method to E07 with a later parser,"exact two-sided sign test p=0.001953 (I computed it: 10 non-tied pairs, all improving)","10/30 improved, 0 worsened, 38 -> 57 evidence-matched claims - VERIFIED BY MY OWN RECOUNT",research/prototype/outputs/parser_fix_before_after_n30_v2_postfix.json,historical 2026-08-27,BEHAVIORAL / METRIC_ONLY,REUSABLE (and STRONGER than the number the docs quote),"This artifact is later than E07, uses the same inputs and method, and gives a materially stronger result, yet is cited nowhere in results_phase3. Either it or a HEAD rerun should replace E07 as the canonical parser number.",REUSABLE,
E09,"Art./Arts. abbreviation fix, real-data impact audit",claim parser,intermediate (parser at commit 6347c45),LATEST (parser at c250a0e/HEAD),"c250a0e+, executed 2026-09-09/15",181 unique real generated texts (deduplicated across all outputs/*.jsonl),181 texts / 795 -> 802 claims,NONE,no model,claim_parser Art./Arts. recognition,n/a,"claim count, claims with matched evidence",Both parser versions loaded in-memory via git show vs working tree and run on identical inputs - a genuinely clean single-commit isolation,none performed,795 -> 802 claims (+7); 531 -> 532 with evidence (+1); 2/181 texts affected; 0 decreases - VERIFIED AT SOURCE,research/prototype/outputs/article_abbreviation_fix_impact.json ; research/prototype/outputs/article_abbreviation_fix_impact_report.md,FRESH 2026-09-09/15,BEHAVIORAL,REUSABLE,"Methodologically the cleanest ablation in the repository (both code versions in one process on identical inputs). Small effect, honestly reported. Confirms E05 and E07 are mildly stale relative to HEAD.",REUSABLE,
E10,Retrieval fuzzy-method safety: Jaccard vs BM25 vs embedding,evidence retrieval,"n/a - Jaccard was ALWAYS the production method; this is LATEST-vs-alternatives, NOT original-vs-latest",LATEST (fuzzy_method=jaccard) plus two never-shipped alternatives,"6347c45, executed 2026-09-09/15","136-record pool, 30 pre-registered cases (21 should-match + 9 adversarial should-NOT-match)",30 (9 in the safety denominator),pre-registered by construction,no LLM; Jaccard/BM25 pure text; embedding = sentence-transformers/all-MiniLM-L6-v2,evidence_matching.fuzzy_method,n/a,"correct-accept rate, correct-reject (safety) rate, threshold sweep",Cases written from the corpus's real Act names BEFORE running any method (pre-registration stated in the report),none (descriptive pre-registered set),"correct-reject: Jaccard 9/9, BM25 3/9, embedding 2/9; correct-accept 19/21, 21/21, 21/21 - VERIFIED AT SOURCE",research/prototype/outputs/retrieval_signal_benchmark_results.jsonl ; research/prototype/outputs/retrieval_signal_benchmark_report.md,historical 2026-09-09,BEHAVIORAL,REUSABLE as a rejection rationale / NOT_APPLICABLE as an O-vs-L result,"n-DESCRIPTION FLAG: PROJECT_CONTEXT/04 says '30 adversarial cases'; only 9 of the 30 are adversarial and 9/9-3/9-2/9 are out of those 9. Partial rerun only: the jaccard arm is pure Python and rerunnable, but bm25 and embedding are NOT (rank_bm25 and sentence_transformers are both absent from the current interpreter and all-MiniLM-L6-v2 is not in the HF cache).",REUSABLE,
E11,"Atomic scope-check replay, fresh (STEP 7)",correction / safety gate,"O-CFG-single-lever (atomic_scope_check=false, legacy full-sentence)",LATEST-single-lever (atomic_scope_check=assertion_spans),"ccbe73f, executed 2026-09-05",11 real historical scope-violation correction attempts from batch1+batch2,11 rows but only 9 DISTINCT document/claim pairs,NONE,no model (pipeline._scope_violation + claim_parser replay),correction.atomic_scope_check false -> assertion_spans,n/a,count of violations unblocked at the scope gate,Deterministic replay of the scope-check function alone on stored corrected text under both modes; stops BEFORE re-verification,none (n too small; explicitly not invented),1/11 unblocked (1997_1306/c6) - VERIFIED AT SOURCE,research/prototype/evaluation/ablation/scope_check_replay_fresh.json,"FRESH reproduction 2026-09-05, matches the historical committed replay exactly",BEHAVIORAL (diagnostic),REUSABLE (with denominator correction),"DENOMINATOR FLAG: the 11 rows contain 2 exact duplicates (2022_435/c3 twice, 2024_300/c2 twice), so there are only 9 DISTINCT scope violations - the honest figure is 1/9 distinct (or 1/11 attempts). The replay also stops at the scope gate, and phase2_natural_evaluation_results.json records that the 1 unblocked case still did NOT ship on re-verification.",REUSABLE,
E12,assertion_spans ('respectively') scope-check replay,correction / safety gate,"intermediate (atomic_scope_check=assertion_text, Phase 1)","LATEST (atomic_scope_check=assertion_spans, Phase 2)","4ca3fad era, 2026-08-27",6 real scope violations from the 50-case GPU experiment,6,NONE,no model,atomic_scope_check assertion_text -> assertion_spans,n/a,violations newly unblocked,deterministic replay of stored original/regenerated text,none,0/6 newly unblocked; 6/6 remain correctly blocked - VERIFIED AT SOURCE,research/prototype/outputs/atomic_scope_check_replay_v2.json ; research/prototype/outputs/atomic_scope_check_replay_v2.md,historical 2026-08-27,BEHAVIORAL (null result),REUSABLE,A clean preserved NULL result for the assertion_spans increment over assertion_text. Not listed in PROJECT_CONTEXT/04's map.,REUSABLE,
E13,"narrow_reverification_hypothesis, 3 correction_failed cases",correction / re-verification,O-CFG-single-lever (narrow_reverification_hypothesis=false),LATEST-single-lever (=true),not determinable (narrative only),3 real correction_failed cases from the final-validation natural GPU batch,3,NONE,Qwen2.5-7B (historical generation) + DeBERTa,correction.narrow_reverification_hypothesis,n/a,re-verification verdict category / confidence shift (qualitative),NOT re-derivable: the ablation record itself states 'raw per-case data for isolating exactly these 3 cases was not re-derived',none performed,"2/3 diluted low-confidence NEI -> decisive CONTRADICTED; 1/3 borderline downgrade -> high-confidence NEI; 0 shipping outcomes changed - SOURCE IS A NARRATIVE, NOT A DATA ARTIFACT",FINAL_PRODUCTION_CONFIG.md sec.4 ; research/prototype/outputs/research_completion_report.md sec.17c,"HISTORICAL, narrative only",HISTORICAL (weakest evidence in the promoted set),RERUN_REQUIRED (and feasible on CPU),"The ONLY promoted lever with no machine-readable per-case artifact anywhere - it fails the traceability criterion. It IS rerunnable: outputs/final_gpu_validation_corrections_detail.jsonl stores the Qwen-regenerated text for all 10 correction attempts (3 correction_failed per arm), so re-verifying full claim_text vs assertion_text hypotheses is a pure CPU DeBERTa job with no Qwen call.",RERUN_REQUIRED,
E14,"Correction funnel, cumulative natural (project history)",correction,"n/a - POOLED across heterogeneous configurations, not a before/after comparison","n/a - mixture of bare/labeled, v0/v1, legacy/assertion_spans scope",rollup of 2026-08-26/27 runs,every natural-data correction attempt in project history,56 attempts,NONE,"Qwen2.5-7B + DeBERTa, GPU (historical)",none isolated (pooled),42 where recorded,"shipped count, unsafe-shipped count","Roll-up over all natural regimes; the package itself flags the denominator as a project-history rollup, not one experiment",none,1/56 shipped (1.8%); 0 unsafe; breakdown 37 correction_failed + 18 scope_violation + 1 corrected = 56 - VERIFIED AT SOURCE,research/prototype/outputs/final_metrics.json (section_D_correction_safety_cumulative),HISTORICAL-ONLY,HISTORICAL,HISTORICAL_ONLY,"Classified PROTOCOL INSUFFICIENT by the project's own GPU_REPRODUCTION_CROSSCHECK. Pools arms with DIFFERENT lever settings into one denominator, so it can never be an ORIGINAL-vs-LATEST statement. The 0-unsafe safety observation is the durable part. Reproduction would need Qwen correction, which is infeasible here.",HISTORICAL_ONLY,
E15,"narrow_primary_hypothesis, fresh end-to-end GPU ablation (16GB, n=62)",verifier,"O-CFG-single-lever (narrow_primary_hypothesis=false), every other lever at LATEST",LATEST (narrow_primary_hypothesis=true),"c994687/8cf8fa9 era, executed 2026-09-11","62 fresh natural cases, real Qwen generation shared between arms",62 documents / 156 claims / 32 evidence-matched per arm,NONE,"Qwen/Qwen2.5-7B-Instruct 4-bit + DeBERTa-v3-base-mnli-fever-anli, GPU",verification.narrow_primary_hypothesis false -> true,greedy decoding; generation called once and shared across arms,"verdict distribution, correction triggered/shipped","Generation shared, only the verification hypothesis differs - a genuinely clean single-lever end-to-end ablation","exact two-sided sign test on 4 discordant verification-recovery pairs, p=0.125 - explicitly NOT significant","ENTAILED 5->9, CONTRADICTED 1->2, NEI 26->21; correction triggered 4->5; shipped 0/62 in BOTH arms - VERIFIED AT SOURCE",research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json,FRESH 2026-09-11 (GPU),BEHAVIORAL / METRIC_ONLY,RERUN_INFEASIBLE (reusable as-is),"Valid and honestly reported (p=0.125, not significant). CANNOT be rerun: requires Qwen2.5-7B generation with no GPU and no cached Qwen. INTERNAL MISMATCH: the sibling .md report is the stale n=60/153-claim snapshot while the .json is the final n=62/156 - the .md declares itself superseded (honest) but both sit in outputs/ and can be mis-cited.",RERUN_INFEASIBLE,
E15b,"narrow_primary_hypothesis, earlier GPU ablation (n=15)",verifier,O-CFG-single-lever (narrow_primary_hypothesis=false),LATEST (=true),"bb2cd93, executed 2026-09-09",15 natural cases,15 docs / 39 claims / 12 evidence-matched,NONE,"Qwen2.5-7B + DeBERTa, GPU",verification.narrow_primary_hypothesis,greedy,verdict distribution,"end-to-end, generation shared",none,NEI 12 -> NEI 11 + ENTAILED 1; 0 corrections triggered either arm - VERIFIED AT SOURCE,research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_metrics.json,historical 2026-09-09 (GPU),BEHAVIORAL,HISTORICAL_ONLY,Superseded by E15 (n=62). Kept as an intermediate checkpoint; not cited in the canonical package. Not rerunnable (Qwen).,HISTORICAL_ONLY,
E16,"narrow_primary_hypothesis, CPU verification-only re-scoring benchmark",verifier,O-CFG-single-lever (full claim_text as primary hypothesis),LATEST-single-lever (narrow assertion_text hypothesis),"bb2cd93, executed 2026-09-09","every evidence-matched (claim_text, evidence_id) pair across all committed outputs/*.jsonl","456 pairs, 107 of which have a genuinely narrower assertion_text",NONE,"DeBERTa-v3-base-mnli-fever-anli, CPU",verification.narrow_primary_hypothesis,n/a (deterministic),"verdict distribution, verdict-change counts",Verification-only re-scoring of already-generated text under labeled framing; nothing regenerated,none performed,"34/107 changed verdict: 31 NEI->ENTAILED, 2 NEI->CONTRADICTED, 1 CONTRADICTED->NEI, 0 ENTAILED<->CONTRADICTED reversals. I RECOMPUTED THE FULL TRANSITION MATRIX FROM THE JSONL AND IT MATCHES",research/prototype/outputs/narrow_primary_hypothesis_benchmark.jsonl ; research/prototype/outputs/narrow_primary_hypothesis_benchmark_report.md,FRESH 2026-09-09 (CPU),BEHAVIORAL / METRIC_ONLY,REUSABLE (and the strongest evidence for this lever),"MISSING FROM THE INDEX: PROJECT_CONTEXT/04 lists only the n=62 GPU batch (E15) for this lever and omits this n=456/107 CPU benchmark entirely - yet it is 7x larger, fully CPU-rerunnable, and shows 34 verdict changes versus 4. REPORTING GAP: the report's per-category breakdown lists 31+2+0+0=33 changes but the headline says 34; the missing 34th is a CONTRADICTED -> NOT_ENOUGH_INFORMATION downgrade (a lost contradiction flag) never named in the narrative.",REUSABLE,
