ID,EXPECTED,ACTUAL,MATCH,CONFIDENCE
s1,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s2,CONTRADICTED,CONTRADICTED,MATCH,0.999215
s3,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s4,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s5,CONTRADICTED,CONTRADICTED,MATCH,0.999509
s6,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s7,CONTRADICTED,CONTRADICTED,MATCH,0.999451
s8,CONTRADICTED,CONTRADICTED,MATCH,0.999179
s9,CONTRADICTED,CONTRADICTED,MATCH,0.999233
s10,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s11,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.556425
s12,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s13,CONTRADICTED,CONTRADICTED,MATCH,0.999473
s14,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s15,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.660245
s16,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s17,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s18,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.659283
s19,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.769083
s20,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.544365
s21,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.625639
s22,CONTRADICTED,CONTRADICTED,MATCH,0.999332
s23,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s24,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.547658
s25,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s26,CONTRADICTED,CONTRADICTED,MATCH,0.998521
s27,CONTRADICTED,CONTRADICTED,MATCH,0.998833
s28,CONTRADICTED,CONTRADICTED,MATCH,0.903939
s29,CONTRADICTED,CONTRADICTED,MATCH,0.999504
s30,CONTRADICTED,CONTRADICTED,MATCH,0.997804
s31,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.743043
s32,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.703016
s33,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.893921
s34,CONTRADICTED,CONTRADICTED,MATCH,0.999271
s35,CONTRADICTED,CONTRADICTED,MATCH,0.749332
s36,CONTRADICTED,CONTRADICTED,MATCH,0.917497
s37,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.499232
s38,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s39,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s40,CONTRADICTED,CONTRADICTED,MATCH,0.999229
s41,CONTRADICTED,CONTRADICTED,MATCH,0.893590
s42,CONTRADICTED,CONTRADICTED,MATCH,0.999333
s43,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.906297
s44,CONTRADICTED,CONTRADICTED,MATCH,0.998844
s45,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.943293
s46,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.657639
s47,CONTRADICTED,CONTRADICTED,MATCH,0.993920
s48,CONTRADICTED,CONTRADICTED,MATCH,0.999208
s49,CONTRADICTED,CONTRADICTED,MATCH,0.873789
s50,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s51,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.804986
s52,CONTRADICTED,CONTRADICTED,MATCH,0.995040
s53,CONTRADICTED,CONTRADICTED,MATCH,0.984861
s54,CONTRADICTED,CONTRADICTED,MATCH,0.998612
s55,CONTRADICTED,CONTRADICTED,MATCH,0.905077
s56,CONTRADICTED,CONTRADICTED,MATCH,0.999662
s57,CONTRADICTED,NO_EVIDENCE,MISMATCH,
s58,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.723424
s59,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.674784
