artifact_id,artifact_type,filename,ppt_variant,title,purpose,metric_contract_csv,source_artifact,dataset,n,system_model_names,baseline_or_modified,fresh_or_historical,evidence_grade,caveat,generation_script
F01,figure,figures/F01_headline_baseline_vs_modified.png,ppt_assets/figures/F01_headline_baseline_vs_modified.png,Headline comparison: baseline NyayaMind v0 vs modified NyayaMind production,Show the four strongest supported baseline/modified comparisons at a glance,M01_headline_baseline_vs_modified.csv,gold01_metrics.json; gold02_metrics.json; paired_209_metrics.json,GOLD-01; GOLD-02; 209-claim paired natural,420 / 59 / 209,Baseline vs Modified,baseline vs modified,FRESH,A,Heterogeneous metrics on one axis; not interchangeable.,Output_phase_3_vedant/scripts/generate_figures.py
F02,figure,figures/F02_gold01_accuracy_macro_f1.png,ppt_assets/figures/F02_gold01_accuracy_macro_f1.png,Verifier accuracy and macro F1 on the GOLD-01 controlled benchmark,Quantify the premise-framing lever on labelled ground truth,M02_gold01_overall.csv,evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01_controlled_verifier_benchmark,420,Baseline vs Modified,baseline vs modified,FRESH (CPU),A,"Benchmark performance, not legal correctness.",Output_phase_3_vedant/scripts/generate_figures.py
F03,figure,figures/F03_gold01_per_class_precision_recall_f1.png,ppt_assets/figures/F03_gold01_per_class_precision_recall_f1.png,"Per-class precision, recall and F1 — GOLD-01 controlled benchmark",Show where the premise-framing gain actually lands (ENTAILED recall 0.50 → 1.00),M03_gold01_per_class.csv,evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01_controlled_verifier_benchmark,420,Baseline vs Modified,baseline vs modified,FRESH (CPU),A,Legitimate only because GOLD-01 has per-item labels.,Output_phase_3_vedant/scripts/generate_figures.py
F04,figure,figures/F04_gold01_confusion_matrices.png,ppt_assets/figures/F04_gold01_confusion_matrices.png,Verifier confusion matrices — GOLD-01 controlled benchmark,Expose the exact error structure behind the accuracy difference,M04_gold01_confusion.csv,evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01_controlled_verifier_benchmark,420,Baseline vs Modified,baseline vs modified,FRESH (CPU),A,"Benchmark labels, not legal ground truth.",Output_phase_3_vedant/scripts/generate_figures.py
F05,figure,figures/F05_gold02_synthetic_contradiction_detection.png,ppt_assets/figures/F05_gold02_synthetic_contradiction_detection.png,Contradiction detection on the GOLD-02 synthetic stress set,Show adversarial detection sensitivity and its residual failure mode,M05_gold02_synthetic_stress.csv,evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,GOLD-02_synthetic_stress_set,59,Baseline vs Modified,baseline vs modified,FRESH (CPU),A,Contradictory by construction; not a natural-data accuracy claim.,Output_phase_3_vedant/scripts/generate_figures.py
F06,figure,figures/F06_evidence_coverage_209_paired.png,ppt_assets/figures/F06_evidence_coverage_209_paired.png,Evidence retrieval coverage on 209 paired natural claims,The strongest natural-data baseline/modified result in the project,M06_evidence_coverage_209_paired.csv ; M06b_evidence_209_discordance.csv,evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,209_claim_paired_natural_evaluation,209,Baseline vs Modified,baseline vs modified,FRESH REPRODUCTION (CPU),A,"Retrieval coverage, never accuracy.",Output_phase_3_vedant/scripts/generate_figures.py
F07,figure,figures/F07_evidence_coverage_588_corpus.png,ppt_assets/figures/F07_evidence_coverage_588_corpus.png,Corpus-level evidence coverage over all 588 pooled natural claims,Show the evidence-pool change at the largest available claim scale,M07_evidence_coverage_588_corpus.csv,research/prototype/outputs/evidence_coverage_v0_vs_v1.json,588 pooled natural claims,588,Baseline vs Modified,baseline vs modified,HISTORICAL (CPU replay),B,"Corpus-level, not paired-arm.",Output_phase_3_vedant/scripts/generate_figures.py
F08,figure,figures/F08_verdict_distribution_natural.png,ppt_assets/figures/F08_verdict_distribution_natural.png,Verifier verdict distribution on natural NyayaRAG claims,Describe what the verifier actually outputs on real generated text,M08_verdict_distribution.csv,paired_209_metrics.json; claims_588_metrics.json,209-claim paired; 588-claim aggregate,209 / 588,Baseline vs Modified (209) plus Modified-only (588),baseline vs modified,FRESH (CPU),n/a (descriptive),Verdict counts are not correctness labels.,Output_phase_3_vedant/scripts/generate_figures.py
F09,figure,figures/F09_premise_framing_natural_batches.png,ppt_assets/figures/F09_premise_framing_natural_batches.png,Premise framing on real natural data — verdict decisiveness at fixed retrieval,Isolate the framing lever on natural text with retrieval held constant,M09_premise_framing_natural_batches.csv,evaluation/actual_outputs/natural_data_runs/batches/batches_analysis.json,natural_candidates batch1 / batch2,251 / 236,Baseline vs Modified,baseline vs modified,HISTORICAL,B,"Decisiveness, not measured correctness.",Output_phase_3_vedant/scripts/generate_figures.py
F10,figure,figures/F10_natural_147_framing_shift.png,ppt_assets/figures/F10_natural_147_framing_shift.png,Premise framing on the same 147 evidence-matched natural claims,Paired natural-data evidence for the framing lever,M10_natural_147_framing_shift.csv,research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,final_validation Arm B evidence-matched subset,147,Baseline vs Modified,baseline vs modified,HISTORICAL (CPU),B,"Verdicts reached, not correctness.",Output_phase_3_vedant/scripts/generate_figures.py
F11,figure,figures/F11_confidence_distribution_588.png,ppt_assets/figures/F11_confidence_distribution_588.png,Verifier confidence distribution by verdict — 588-claim natural aggregate,Show how decisively the verifier reaches each verdict on real claims,M11_confidence_by_verdict_588.csv,evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,588_claim_natural_aggregate,390 of 588,Modified only (no baseline arm exists),Modified only (no baseline arm exists),FRESH (CPU),n/a (descriptive),Confidence is not correctness.,Output_phase_3_vedant/scripts/generate_figures.py
F12,figure,figures/F12_confidence_threshold_sensitivity.png,ppt_assets/figures/F12_confidence_threshold_sensitivity.png,"Confidence-threshold sensitivity on GOLD-01, both premise framings","Show the production threshold is in a flat, non-fragile region",M12_confidence_threshold_sweep.csv,research/prototype/outputs/threshold_sensitivity_analysis.json,GOLD-01_controlled_verifier_benchmark,420,Baseline vs Modified,baseline vs modified,FRESH (replay),B,"Sensitivity description, not a tuning result.",Output_phase_3_vedant/scripts/generate_figures.py
F13,figure,figures/F13_correction_funnel.png,ppt_assets/figures/F13_correction_funnel.png,Selective-correction funnel — five populations kept strictly separate,"Show where correction attempts are stopped, per population",M13_correction_funnel.csv,final_metrics.json; final_gpu_validation_metrics.json; labeled_correction_validation_gpu_metrics.json,synthetic + natural targeted + natural cumulative,59 / 209 / 56,Baseline vs Modified (within each population),baseline vs modified,HISTORICAL (GPU),C,Never pool populations into one rate.,Output_phase_3_vedant/scripts/generate_figures.py
F14,figure,figures/F14_correction_outcomes.png,ppt_assets/figures/F14_correction_outcomes.png,Correction outcomes by population — shipped vs each rejection reason,Show that almost every correction attempt is stopped by a safety gate,M14_correction_outcomes.csv,final_metrics.json; final_gpu_validation_metrics.json; labeled_correction_validation_gpu_metrics.json,synthetic + natural targeted + natural cumulative,59 / 209 / 56,Baseline vs Modified (within each population),baseline vs modified,HISTORICAL (GPU),C,n too small for a statistical shipping-rate claim.,Output_phase_3_vedant/scripts/generate_figures.py
F15,figure,figures/F15_safety_observations.png,ppt_assets/figures/F15_safety_observations.png,Observed safety-gate behaviour across the full tested correction history,"Evidence the safety layer is the binding constraint, and that nothing unsafe shipped",M15_safety_observations.csv,final_metrics.json; final_gpu_validation_metrics.json,all tested correction attempts,122,Modified system's gates (cumulative),Modified system's gates (cumulative),HISTORICAL,n/a (observed counts),"Observed counts, not a safety guarantee.",Output_phase_3_vedant/scripts/generate_figures.py
F16,figure,figures/F16_ablation_evidence_strength.png,ppt_assets/figures/F16_ablation_evidence_strength.png,Ablation evidence strength for all eight studied factors,Communicate honestly how well each design decision is evidenced,M16_ablation_matrix.csv,evaluation/ablation/ABLATION_SUMMARY.json,8 named ablation factors,3–420 per factor,Baseline vs Modified per factor,baseline vs modified,MIXED,A–E,"Grade is evidence strength, not effect size.",Output_phase_3_vedant/scripts/generate_figures.py
F17,figure,figures/F17_runtime_resource.png,ppt_assets/figures/F17_runtime_resource.png,Runtime and peak VRAM per experiment arm,Give the mentor a realistic cost picture for each stage,M17_runtime_resource.csv,final_gpu_validation_metrics.json; final_metrics.json; gold01_metrics.json,mixed experiment arms,10–420,Baseline vs Modified within paired arms,baseline vs modified,MIXED,n/a (resource),Runtime is not a correctness measure.,Output_phase_3_vedant/scripts/generate_figures.py
F18,figure,figures/F18_natural_regimes_coverage.png,ppt_assets/figures/F18_natural_regimes_coverage.png,Evidence coverage across every natural-data regime in the project,Give the honest spread rather than a single flattering number,M18_natural_regimes_coverage.csv,batches_analysis.json; paired_209_metrics.json; claims_588_metrics.json,11 natural-data regimes,29–588,Mixed baseline and modified regimes,Mixed baseline and modified regimes,MIXED,n/a (descriptive),Not a trend; regimes are not comparable samples.,Output_phase_3_vedant/scripts/generate_figures.py
F19,figure,figures/F19_synthetic_vs_natural_transfer.png,ppt_assets/figures/F19_synthetic_vs_natural_transfer.png,Correction shipping rate: synthetic stress set vs natural data,State the synthetic-to-natural transfer gap explicitly rather than hiding it,M19_synthetic_vs_natural_transfer.csv,research/prototype/outputs/final_metrics.json,synthetic vs natural correction attempts,36 / 56 / 10,Modified system across two populations,Modified system across two populations,HISTORICAL (GPU),D,Disjoint populations; never plot as a single trend.,Output_phase_3_vedant/scripts/generate_figures.py
F20,figure,figures/F20_no_evidence_taxonomy.png,ppt_assets/figures/F20_no_evidence_taxonomy.png,Why claims resolve to NO_EVIDENCE — audit over all 797 claims,Explain the dominant natural-data outcome honestly,M20_no_evidence_taxonomy.csv,research/prototype/outputs/no_evidence_taxonomy_v3.json,797 pooled claims,797 (260 NO_EVIDENCE),Modified system's retrieval stage,Modified system's retrieval stage,HISTORICAL,B,"NO_EVIDENCE is a corpus limit, not a detected error.",Output_phase_3_vedant/scripts/generate_figures.py
F21,figure,figures/F21_claim_parser_fix_n30.png,ppt_assets/figures/F21_claim_parser_fix_n30.png,Claim-parser fix (commit 223eb9d) — re-parse of the same 30 generated texts,Show the one code-level (not configuration-level) improvement measured in the project,M21_parser_fix_n30.csv,research/prototype/outputs/parser_fix_before_after_n30.json,n30_reparse,30 cases,Baseline vs Modified (parser code version),baseline vs modified,HISTORICAL REPRODUCTION,B,Not a 1:1 paired-claim comparison.,Output_phase_3_vedant/scripts/generate_figures.py
F22,figure,figures/F22_gpu_reproduction_crosscheck.png,ppt_assets/figures/F22_gpu_reproduction_crosscheck.png,GPU reproducibility crosscheck — historical run vs fresh re-execution,Demonstrate the reported GPU results are independently reproducible,M22_gpu_reproduction_crosscheck.csv,final_gpu_validation_metrics.json; step10b_final_gpu_validation_metrics.json,209-claim paired + 10-case targeted correction,209 / 10,"Modified system, two machines","Modified system, two machines",FRESH vs HISTORICAL,A (reproducibility only),"Determinism evidence, not accuracy evidence.",Output_phase_3_vedant/scripts/generate_figures.py
F23,figure,figures/F23_component_test_coverage.png,ppt_assets/figures/F23_component_test_coverage.png,Component regression coverage — research/prototype/tests/,Show the behavioural test surface behind each pipeline stage,M23_component_test_matrix.csv,evaluation/metrics/COMPONENT_TEST_MATRIX.csv,research/prototype/tests/,205,Modified system (current code),Modified system (current code),FRESH,n/a (software behaviour),"Software behaviour, not accuracy.",Output_phase_3_vedant/scripts/generate_figures.py
F24,figure,figures/F24_evidence_pool_composition.png,ppt_assets/figures/F24_evidence_pool_composition.png,Canonical evidence pool available to the verifier in each system,Make the single largest structural difference between the systems concrete,M24_evidence_pool_composition.csv,config/prototype.yaml; research/data/evidence/*.jsonl via src/data_loader.py,research/data/evidence/,59 vs 136 usable records,Baseline vs Modified,baseline vs modified,FRESH,A,Audit-excluded records are never used as premises.,Output_phase_3_vedant/scripts/generate_figures.py
F25,figure,figures/F25_scope_gate_replay.png,ppt_assets/figures/F25_scope_gate_replay.png,Scope-gate behaviour replay on 11 real historical scope violations,Show precisely what the relaxed scope check did and did not change,M25_scope_gate_replay.csv,evaluation/ablation/scope_check_replay_fresh.json,11 real scope violations,11,Baseline vs Modified,baseline vs modified,FRESH REPRODUCTION,C,Stops at the gate; downstream shipping not verified.,Output_phase_3_vedant/scripts/generate_figures.py
D01,diagram,diagrams/D01_baseline_architecture_nyayamind_v0.png,ppt_assets/diagrams/D01_baseline_architecture_nyayamind_v0.png,Baseline architecture — NyayaMind v0 (pre-2026-08-27 production configuration),Establish exactly what the baseline system is before any comparison,"n/a (structural diagram, no plotted metric)",config/prototype.yaml; comparison_config.json (ORIGINAL); src/*.py,n/a (source code / configuration),n/a,Baseline: NyayaMind v0,Baseline: NyayaMind v0,FRESH (read from source at build time),n/a (structural),"Configuration A/B, not a code fork.",Output_phase_3_vedant/scripts/generate_diagrams.py
D02,diagram,diagrams/D02_modified_architecture_nyayamind_production.png,ppt_assets/diagrams/D02_modified_architecture_nyayamind_production.png,Modified architecture — NyayaMind 2026-08-27 shipped production configuration,Show exactly where the modified system adds functionality,"n/a (structural diagram, no plotted metric)",config/prototype.yaml; FINAL_PRODUCTION_CONFIG.md; src/*.py,n/a (source code / configuration),n/a,Modified: NyayaMind production,Modified: NyayaMind production,FRESH (read from source at build time),n/a (structural),Highlighted panels are the added/changed parts.,Output_phase_3_vedant/scripts/generate_diagrams.py
D03,diagram,diagrams/D03_baseline_vs_modified_side_by_side.png,ppt_assets/diagrams/D03_baseline_vs_modified_side_by_side.png,Baseline vs modified NyayaMind — stage-by-stage component comparison,The single slide that answers 'what actually changed?',"n/a (structural diagram, no plotted metric)",config/prototype.yaml; comparison_config.json; src/*.py,n/a (source code / configuration),n/a,Baseline vs Modified,Baseline vs Modified,FRESH (read from source at build time),n/a (structural),"Configuration differences only, plus the parser fix.",Output_phase_3_vedant/scripts/generate_diagrams.py
D04,diagram,diagrams/D04_complete_pipeline.png,ppt_assets/diagrams/D04_complete_pipeline.png,"Complete NyayaMind pipeline -- seven stages, production configuration",One-slide view of the whole system,"n/a (structural diagram, no plotted metric)",src/pipeline.py; src/*.py,n/a (source code / configuration),n/a,Modified: NyayaMind production,Modified: NyayaMind production,FRESH (read from source at build time),n/a (structural),Stage numbering follows the repository README's own architecture block.,Output_phase_3_vedant/scripts/generate_diagrams.py
D05,diagram,diagrams/D05_stage_claim_parsing.png,ppt_assets/diagrams/D05_stage_claim_parsing.png,Stage 2 — Claim parsing,Explain atomic claim decomposition and why claims can share a sentence,"n/a (structural diagram, no plotted metric)",src/claim_parser.py,n/a (source code / configuration),n/a,Shared stage; assertion_spans used only by the modified system,Shared stage; assertion_spans used only by the modified system,FRESH (read from source at build time),n/a (structural),"Deterministic regex, no LLM involved at this stage.",Output_phase_3_vedant/scripts/generate_diagrams.py
D06,diagram,diagrams/D06_stage_evidence_retrieval.png,ppt_assets/diagrams/D06_stage_evidence_retrieval.png,Stage 3 — Evidence retrieval,Show the deterministic match cascade and where the pool size matters,"n/a (structural diagram, no plotted metric)",src/evidence_matcher.py; src/data_loader.py,n/a (source code / configuration),n/a,Shared stage; evidence pool size differs between systems,Shared stage; evidence pool size differs between systems,FRESH (read from source at build time),n/a (structural),"NO_EVIDENCE reflects a corpus limit, not a detected citation error.",Output_phase_3_vedant/scripts/generate_diagrams.py
D07,diagram,diagrams/D07_stage_nli_verification.png,ppt_assets/diagrams/D07_stage_nli_verification.png,Stage 4 — NLI verification,"Explain the premise-framing lever, the project's largest measured effect","n/a (structural diagram, no plotted metric)",src/verifier.py; src/pipeline.py,n/a (source code / configuration),n/a,Baseline vs Modified premise framing,Baseline vs Modified premise framing,FRESH (read from source at build time),n/a (structural),NLI confidence is not a legal-correctness determination.,Output_phase_3_vedant/scripts/generate_diagrams.py
D08,diagram,diagrams/D08_stage_verdict_application.png,ppt_assets/diagrams/D08_stage_verdict_application.png,Stage 4b — Verdict application and correction triggering,Show which verdicts do and do not cause a correction attempt,"n/a (structural diagram, no plotted metric)",src/pipeline.py,n/a (source code / configuration),n/a,Shared stage (identical rules in both systems),Shared stage (identical rules in both systems),FRESH (read from source at build time),n/a (structural),First-flagged-claim-only correction is a documented v0 simplification.,Output_phase_3_vedant/scripts/generate_diagrams.py
D09,diagram,diagrams/D09_stage_correction_and_reverification.png,ppt_assets/diagrams/D09_stage_correction_and_reverification.png,Stages 5 and 7 — Selective correction and re-verification,Show the ENTAILED-only shipping gate and the narrow-hypothesis change,"n/a (structural diagram, no plotted metric)",src/corrector.py; src/pipeline.py,n/a (source code / configuration),n/a,Baseline vs Modified re-verification hypothesis,Baseline vs Modified re-verification hypothesis,FRESH (read from source at build time),n/a (structural),"Only the first flagged claim is ever corrected, once.",Output_phase_3_vedant/scripts/generate_diagrams.py
D10,diagram,diagrams/D10_stage_scope_and_safety_gate.png,ppt_assets/diagrams/D10_stage_scope_and_safety_gate.png,Stage 6 — Scope and safety gate,Show that the safety layer is programmatic and reject-only,"n/a (structural diagram, no plotted metric)",src/pipeline.py; FINAL_PRODUCTION_CONFIG.md,n/a (source code / configuration),n/a,Baseline vs Modified scope rule,Baseline vs Modified scope rule,FRESH (read from source at build time),n/a (structural),"Gates can only reject, never approve.",Output_phase_3_vedant/scripts/generate_diagrams.py
D11,diagram,diagrams/D11_final_answer_assembly.png,ppt_assets/diagrams/D11_final_answer_assembly.png,Final answer assembly — pipeline.run_case(),Show the five terminal states and the reproducibility record,"n/a (structural diagram, no plotted metric)",src/pipeline.py,n/a (source code / configuration),n/a,Baseline reaches 4 states; Modified reaches 5,Baseline reaches 4 states; Modified reaches 5,FRESH (read from source at build time),n/a (structural),Only 'corrected' ever ships regenerated text.,Output_phase_3_vedant/scripts/generate_diagrams.py
D12,diagram,diagrams/D12_full_data_flow.png,ppt_assets/diagrams/D12_full_data_flow.png,Full data flow — case input to mentor-facing artifact,"Trace provenance end to end, including this package's own read-only position","n/a (structural diagram, no plotted metric)",scripts/run_mvp.py; src/pipeline.py; evaluation/,n/a (source code / configuration),n/a,Both systems,Both systems,FRESH (read from source at build time),n/a (structural),This package writes only into Output_phase_3_vedant/.,Output_phase_3_vedant/scripts/generate_diagrams.py
D13,diagram,diagrams/D13_pipeline_modes_a_b_c.png,ppt_assets/diagrams/D13_pipeline_modes_a_b_c.png,Pipeline modes A / B / C,Prevent the common confusion between modes and system configurations,"n/a (structural diagram, no plotted metric)",src/pipeline.py; scripts/run_mvp.py,n/a (source code / configuration),n/a,Both systems,Both systems,FRESH (read from source at build time),n/a (structural),Mode is orthogonal to the baseline/modified configuration difference.,Output_phase_3_vedant/scripts/generate_diagrams.py
