result_id,result_name,category,metric,value,numerator,denominator,n,dataset,system,model,execution,freshness,evidence_grade,source_artifact,source_field,statistical_method,caveat
R01,"Evidence coverage, 209-claim paired natural evaluation (HISTORICAL, as originally recorded)",evidence_retrieval,evidence_coverage,"{'NOT_ENOUGH_INFORMATION': 129, 'NO_EVIDENCE': 77, 'CONTRADICTED': 3} -> {'NOT_ENOUGH_INFORMATION': 144, 'NO_EVIDENCE': 62, 'CONTRADICTED': 3} (verdict distributions)",n/a,n/a,209,209_claim_paired_natural_evaluation,"NyayaMind v0 (bare, v0-pool) -> NyayaMind (labeled, v0+v1 pool)",n/a,CPU,HISTORICAL,A,evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,historical_verdict_distribution_arm_A/B,n/a,"Historical CONTRADICTED count is 3 in BOTH arms (not 2->3 -- that figure is the FRESH re-verification column, a different, later analysis pass under current labeled framing for both arms; see R02)."
R02,"Evidence coverage, 209-claim paired (FRESH re-verification, both arms under current labeled framing)",evidence_retrieval,evidence_coverage,0.6316 -> 0.7033,15,209,209,209_claim_paired_natural_evaluation,use_evidence_v1=false (59 records) -> true (136 records),n/a,CPU,FRESH,A,evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,"fresh_evidence_coverage_arm_A/B, mcnemar_evidence_coverage",McNemar (continuity-corrected),"chi2=13.0667, p=0.000301. Fresh CONTRADICTED counts differ slightly from historical (2->3 here vs 3->3 historical) -- both are real, from different re-verification passes; not conflated."
R03_OLD,narrow_primary_hypothesis fresh GPU batch -- OLD arm,verifier,verdict_distribution / correction_shipped,"{""NOT_ENOUGH_INFORMATION"": 26, ""ENTAILED"": 5, ""CONTRADICTED"": 1}",0,4,62,narrow_primary_hypothesis_gpu_ablation_16gb,"NyayaMind (production, narrow_primary_hypothesis toggled)",Qwen2.5-7B-Instruct + DeBERTa-v3-base-mnli-fever-anli,GPU,FRESH (2026-09-12),B,research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json,"OLD.verdict_distribution, OLD.correction_shipped",none (n too small),"Correction shipped 0 in both arms -- directionally consistent with prior evidence, not independently significant."
R03_CURRENT,narrow_primary_hypothesis fresh GPU batch -- CURRENT arm,verifier,verdict_distribution / correction_shipped,"{""NOT_ENOUGH_INFORMATION"": 21, ""ENTAILED"": 9, ""CONTRADICTED"": 2}",0,5,62,narrow_primary_hypothesis_gpu_ablation_16gb,"NyayaMind (production, narrow_primary_hypothesis toggled)",Qwen2.5-7B-Instruct + DeBERTa-v3-base-mnli-fever-anli,GPU,FRESH (2026-09-12),B,research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json,"CURRENT.verdict_distribution, CURRENT.correction_shipped",none (n too small),"Correction shipped 0 in both arms -- directionally consistent with prior evidence, not independently significant."
R04,assertion_span_primary_hypothesis verdict shift,verifier,verdict_changed,4/6,4,6,6,assertion_spans_primary_hypothesis_benchmark,NyayaMind (experimental verification lever),MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,CPU,HISTORICAL (2026-09-11),C,research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl,"baseline_verdict, span_verdict","none (n=6, too small)","3 NEI->ENTAILED, 1 NEI->CONTRADICTED (real generation error unmasked), 2 unchanged. Zero ENTAILED<->CONTRADICTED reversals. NOT promoted."
R05_jaccard,Retrieval adversarial correct-reject rate -- jaccard,evidence_retrieval,correct_reject_rate,9/9,9,9,9,retrieval_signal_benchmark,NyayaMind (production Jaccard / evaluated BM25 / evaluated embedding),"n/a (lexical/embedding retrieval, no LLM)",CPU,HISTORICAL,B,research/prototype/outputs/retrieval_signal_benchmark_results.jsonl,"kind, method, correct",none (pre-registered descriptive adversarial set),PRODUCTION method (Jaccard) is the only one reaching 9/9; BM25/embedding evaluated and NOT promoted for this reason.
R05_bm25,Retrieval adversarial correct-reject rate -- bm25,evidence_retrieval,correct_reject_rate,3/9,3,9,9,retrieval_signal_benchmark,NyayaMind (production Jaccard / evaluated BM25 / evaluated embedding),"n/a (lexical/embedding retrieval, no LLM)",CPU,HISTORICAL,B,research/prototype/outputs/retrieval_signal_benchmark_results.jsonl,"kind, method, correct",none (pre-registered descriptive adversarial set),"Evaluated, NOT promoted -- materially less safe than Jaccard at production threshold."
R05_embedding,Retrieval adversarial correct-reject rate -- embedding,evidence_retrieval,correct_reject_rate,2/9,2,9,9,retrieval_signal_benchmark,NyayaMind (production Jaccard / evaluated BM25 / evaluated embedding),"n/a (lexical/embedding retrieval, no LLM)",CPU,HISTORICAL,B,research/prototype/outputs/retrieval_signal_benchmark_results.jsonl,"kind, method, correct",none (pre-registered descriptive adversarial set),"Evaluated, NOT promoted -- materially less safe than Jaccard at production threshold."
R06,"Correction shipping, legacy vs assertion-aware (paired real replay)",correction,correction_shipped,0/10 vs 0/10,0,10,10,assertion_aware_correction_experiment,NyayaMind (correction.assertion_aware=false vs true),Qwen2.5-7B-Instruct + DeBERTa-v3-base-mnli-fever-anli,GPU,FRESH (2026-09-12),B,research/prototype/outputs/assertion_aware_correction_experiment_comparison.json,"legacy_shipped, assertion_aware_shipped","none (0 vs 0, no discordant pairs)",NO shipping-rate improvement measured. 0 unsafe shipments either mechanism. correction.assertion_aware stays false in production.
R07,Error propagation: first-failure-stage distribution,correction,first_failure_stage_counts,"{""reverification"": 2, ""safety_scope_citation_ordinal"": 5, ""none (correctly not triggered)"": 1, ""safety_sibling_regression"": 2}",n/a,n/a,10,assertion_aware_correction_experiment (error propagation matrix),NyayaMind (assertion-aware correction),Qwen2.5-7B-Instruct + DeBERTa-v3-base-mnli-fever-anli,GPU,FRESH (2026-09-12),B,research/prototype/outputs/error_propagation_matrix.csv,first_failure_stage,none (descriptive),"Derived programmatically (scripts/build_error_propagation_matrix.py), not hand-filled."
