artifact_id,artifact_type,filename,ppt_variant,title,purpose,metric_contract_csv,source_artifact,dataset,n,system_model_names,baseline_or_modified,fresh_or_historical,evidence_grade,caveat,generation_script
D01,diagram,diagrams/D01_baseline_architecture_nyayamind_v0.png,ppt_assets/diagrams/D01_baseline_architecture_nyayamind_v0.png,Baseline architecture — NyayaMind v0 (pre-2026-08-27 production configuration),Establish exactly what the baseline system is before any comparison,"n/a (structural diagram, no plotted metric)",config/prototype.yaml; comparison_config.json (ORIGINAL); src/*.py,n/a (source code / configuration),n/a,Baseline: NyayaMind v0,Baseline: NyayaMind v0,FRESH (read from source at build time),n/a (structural),"Configuration A/B, not a code fork.",Output_phase_3_vedant/scripts/generate_diagrams.py
D02,diagram,diagrams/D02_modified_architecture_nyayamind_production.png,ppt_assets/diagrams/D02_modified_architecture_nyayamind_production.png,Modified architecture — NyayaMind 2026-08-27 shipped production configuration,Show exactly where the modified system adds functionality,"n/a (structural diagram, no plotted metric)",config/prototype.yaml; FINAL_PRODUCTION_CONFIG.md; src/*.py,n/a (source code / configuration),n/a,Modified: NyayaMind production,Modified: NyayaMind production,FRESH (read from source at build time),n/a (structural),Highlighted panels are the added/changed parts.,Output_phase_3_vedant/scripts/generate_diagrams.py
D03,diagram,diagrams/D03_baseline_vs_modified_side_by_side.png,ppt_assets/diagrams/D03_baseline_vs_modified_side_by_side.png,Baseline vs modified NyayaMind — stage-by-stage component comparison,The single slide that answers 'what actually changed?',"n/a (structural diagram, no plotted metric)",config/prototype.yaml; comparison_config.json; src/*.py,n/a (source code / configuration),n/a,Baseline vs Modified,Baseline vs Modified,FRESH (read from source at build time),n/a (structural),"Configuration differences only, plus the parser fix.",Output_phase_3_vedant/scripts/generate_diagrams.py
D04,diagram,diagrams/D04_complete_pipeline.png,ppt_assets/diagrams/D04_complete_pipeline.png,"Complete NyayaMind pipeline -- seven stages, production configuration",One-slide view of the whole system,"n/a (structural diagram, no plotted metric)",src/pipeline.py; src/*.py,n/a (source code / configuration),n/a,Modified: NyayaMind production,Modified: NyayaMind production,FRESH (read from source at build time),n/a (structural),Stage numbering follows the repository README's own architecture block.,Output_phase_3_vedant/scripts/generate_diagrams.py
D05,diagram,diagrams/D05_stage_claim_parsing.png,ppt_assets/diagrams/D05_stage_claim_parsing.png,Stage 2 — Claim parsing,Explain atomic claim decomposition and why claims can share a sentence,"n/a (structural diagram, no plotted metric)",src/claim_parser.py,n/a (source code / configuration),n/a,Shared stage; assertion_spans used only by the modified system,Shared stage; assertion_spans used only by the modified system,FRESH (read from source at build time),n/a (structural),"Deterministic regex, no LLM involved at this stage.",Output_phase_3_vedant/scripts/generate_diagrams.py
D06,diagram,diagrams/D06_stage_evidence_retrieval.png,ppt_assets/diagrams/D06_stage_evidence_retrieval.png,Stage 3 — Evidence retrieval,Show the deterministic match cascade and where the pool size matters,"n/a (structural diagram, no plotted metric)",src/evidence_matcher.py; src/data_loader.py,n/a (source code / configuration),n/a,Shared stage; evidence pool size differs between systems,Shared stage; evidence pool size differs between systems,FRESH (read from source at build time),n/a (structural),"NO_EVIDENCE reflects a corpus limit, not a detected citation error.",Output_phase_3_vedant/scripts/generate_diagrams.py
D07,diagram,diagrams/D07_stage_nli_verification.png,ppt_assets/diagrams/D07_stage_nli_verification.png,Stage 4 — NLI verification,"Explain the premise-framing lever, the project's largest measured effect","n/a (structural diagram, no plotted metric)",src/verifier.py; src/pipeline.py,n/a (source code / configuration),n/a,Baseline vs Modified premise framing,Baseline vs Modified premise framing,FRESH (read from source at build time),n/a (structural),NLI confidence is not a legal-correctness determination.,Output_phase_3_vedant/scripts/generate_diagrams.py
D08,diagram,diagrams/D08_stage_verdict_application.png,ppt_assets/diagrams/D08_stage_verdict_application.png,Stage 4b — Verdict application and correction triggering,Show which verdicts do and do not cause a correction attempt,"n/a (structural diagram, no plotted metric)",src/pipeline.py,n/a (source code / configuration),n/a,Shared stage (identical rules in both systems),Shared stage (identical rules in both systems),FRESH (read from source at build time),n/a (structural),First-flagged-claim-only correction is a documented v0 simplification.,Output_phase_3_vedant/scripts/generate_diagrams.py
D09,diagram,diagrams/D09_stage_correction_and_reverification.png,ppt_assets/diagrams/D09_stage_correction_and_reverification.png,Stages 5 and 7 — Selective correction and re-verification,Show the ENTAILED-only shipping gate and the narrow-hypothesis change,"n/a (structural diagram, no plotted metric)",src/corrector.py; src/pipeline.py,n/a (source code / configuration),n/a,Baseline vs Modified re-verification hypothesis,Baseline vs Modified re-verification hypothesis,FRESH (read from source at build time),n/a (structural),"Only the first flagged claim is ever corrected, once.",Output_phase_3_vedant/scripts/generate_diagrams.py
D10,diagram,diagrams/D10_stage_scope_and_safety_gate.png,ppt_assets/diagrams/D10_stage_scope_and_safety_gate.png,Stage 6 — Scope and safety gate,Show that the safety layer is programmatic and reject-only,"n/a (structural diagram, no plotted metric)",src/pipeline.py; FINAL_PRODUCTION_CONFIG.md,n/a (source code / configuration),n/a,Baseline vs Modified scope rule,Baseline vs Modified scope rule,FRESH (read from source at build time),n/a (structural),"Gates can only reject, never approve.",Output_phase_3_vedant/scripts/generate_diagrams.py
