Factor,Baseline setting,Modified setting,Dataset,n,Primary metric,Baseline value,Variant value,Statistical test,p-value,Classification,Freshness,Evidence grade,Safe claim
evidence_v1,"use_evidence_v1=false (v0-only, 59 records)","use_evidence_v1=true (v0+v1, 136 records)",209_claim_paired_natural_evaluation,209,evidence_coverage,0.6316,0.7033,McNemar (continuity-corrected),3.01e-04,SUPPORTED,"FRESH REPRODUCTION (recomputed in STEP 6, cited here unchanged)",A,"Evidence-v1 materially increased observed evidence coverage on the paired natural evaluation (63.2%->70.3%, zero regressions, McNemar p=0.0003)."
premise_framing,premise_framing=bare,premise_framing=labeled,GOLD-01_controlled_verifier_benchmark,420,macro_f1,0.7487,0.9684,"McNemar (continuity-corrected), paired correct/incorrect per item",4.16e-23,SUPPORTED,"FRESH (both arms computed in STEP 4; the McNemar test itself is newly computed in this step, directly from the paired per-item predictions)",A,"Labeled premise framing substantially improved verifier performance on the 420-item controlled GOLD benchmark (macro F1 0.749->0.968, accuracy 0.733->0.971, McNemar p<0.001, exact sign test p=1.58e-30)."
claim_parser_fix,pre-fix parser (commit prior to 223eb9d),"post-fix parser (commit 223eb9d: claim parsing, acronym normalization, evidence matching fixes)","n30_reparse (same 30 generated texts, re-parsed with the pre-223eb9d parser and the commit-223eb9d parser)",30,per_case_evidence_matched_count,—,—,exact two-sided sign test (on the non-tied pairs only),3.12e-02,SUPPORTED,"HISTORICAL REPRODUCTION / NOT FRESH -- the parser fix itself cannot be re-executed without checking out old source code (not performed, per this step's rule against modifying production source). The sign test above was freshly recomputed this run from the raw historical per-case artifact, not copied from narrative text.",B,"The commit-223eb9d parser fix increased the number of claims resolving to usable evidence on this 30-case batch, with zero cases worsened (6/30 improved, sign test p=0.03)."
atomic_scope_check_assertion_spans,"atomic_scope_check=false (legacy, full-sentence requirement)","atomic_scope_check=""assertion_spans""",11 real historical scope-violation correction attempts (batch1+batch2 natural GPU experiments),11,n_unblocked (scope-gate outcome only),0.0000,1.0000,"none (n=11, purely descriptive count; no test performed)",—,DIAGNOSTIC,"FRESH REPRODUCTION (re-executed this run via the real, unmodified pipeline._scope_violation and claim_parser.extract_claims, output written to evaluation/ablation/scope_check_replay_fresh.json (moved here in PASS 1 cleanup), cross-checked against the historical committed replay)",C,"The assertion_spans scope-check mode changed scope-gate behavior on this replay, unblocking 1 of 11 real historical scope violations from being rejected purely on scope grounds."
narrow_reverification_hypothesis,narrow_reverification_hypothesis=false (full bundled sentence as re-verification hypothesis),"narrow_reverification_hypothesis=true (assertion_text, when a safe split exists)",3 real correction_failed cases from the final validation natural GPU batch,3,re-verification verdict category shift (descriptive),—,—,"none performed (n=3; the source document itself does not report one, and this step does not invent one)",—,DIAGNOSTIC,HISTORICAL (cited directly from FINAL_PRODUCTION_CONFIG.md Section 4 and outputs/research_completion_report.md Section 17c; raw per-case data for isolating exactly these 3 cases was not re-derived in this step),C,"Narrow re-verification produced more decisive, better-calibrated confidence signals on 3 real correction_failed cases, with zero change to any ship/reject outcome in the batches tested."
confidence_threshold,"N/A -- descriptive sweep, not a baseline/variant comparison","thresholds 0.50-0.95 (10 points), production=0.70","GOLD-01_controlled_verifier_benchmark (420 items, stored softmax distributions, no re-inference)",420,macro_f1_vs_threshold,—,—,"none (descriptive sensitivity sweep, not a hypothesis test)",—,DESCRIPTIVE,FRESH (recomputed this run directly from the stored sweep data),B,"The production threshold (0.70) sits within 0.0022 (bare) / 0.0000 (labeled) macro-F1 of the empirical optimum on the 420-item benchmark, in a flat, non-fragile plateau region -- this describes what happens as the threshold changes, not a search for the best threshold. The production threshold was not changed in this step."
correction_levers_combined (premise_framing isolated within an otherwise-fixed config),"premise_framing=bare, with use_evidence_v1=true, atomic_scope_check=assertion_spans, narrow_reverification_hypothesis=true all already on","premise_framing=labeled, same other settings","final validation natural GPU batch (same 50 cases, same generation)",—,corrections_shipped / corrections_triggered,—,—,"none performed -- sample too small for a meaningful test (5 vs 10 triggered, 0 vs 1 shipped)",—,DIAGNOSTIC,HISTORICAL -- GPU-dependent (real Qwen correction calls were made to produce this data in a prior session). NOT reproducible on this machine (no NVIDIA GPU) and NOT re-executed in this step.,C,"On this specific isolated comparison, labeled framing triggered correction on more cases (10 vs 5) and shipped one genuine correction where bare shipped none -- directionally suggestive, isolated by design, but too small a sample to be statistically supported. Cumulative across this project's entire history: 1/56 (1.8%) correction attempts have ever shipped, with 0 unsafe shipments."
joint_four_lever_isolation,N/A,N/A,N/A,—,—,—,—,—,—,NOT_ISOLABLE,NOT_EXECUTED,E,"Joint four-lever causal isolation was not performed anywhere in this project's history, including in this step."
narrow_primary_hypothesis,narrow_primary_hypothesis=false (full claim_text as PRIMARY verification hypothesis),"narrow_primary_hypothesis=true (assertion_text, when a safe split exists)",narrow_primary_hypothesis_gpu_ablation_16gb (fresh natural GPU batch),62,verdict_distribution (NOT_ENOUGH_INFORMATION / ENTAILED / CONTRADICTED),"{""NOT_ENOUGH_INFORMATION"": 26, ""ENTAILED"": 5, ""CONTRADICTED"": 1}","{""NOT_ENOUGH_INFORMATION"": 21, ""ENTAILED"": 9, ""CONTRADICTED"": 2}","exact sign test (paired verdict change), not computed here (see outputs/16gb_final_execution_report.md: p~0.125)",0.125,SUPPORTED (adopted in production),"FRESH (real Qwen2.5-7B + real DeBERTa GPU batch, 2026-09-12)",B,"narrow_primary_hypothesis is production default (true). On this fresh n=62 batch: correction triggered 4 (OLD) vs 5 (CURRENT); shipped 0 vs 0 (both 0) -- directionally consistent with prior evidence, not independently significant at this n."
assertion_span_primary_hypothesis,assertion_span_primary_hypothesis=false (assertion_text-only narrowing),assertion_span_primary_hypothesis=true (assertion_spans-built hypothesis for 'respectively' claims),assertion_spans_primary_hypothesis_benchmark (n=6 unique real 'respectively' claims),6,verdict_distribution (baseline vs span hypothesis),all 6 = NOT_ENOUGH_INFORMATION (baseline),"4/6 changed verdict (3 NEI->ENTAILED, 1 NEI->CONTRADICTED, 2 unchanged)","none performed (n=6, too small)",n/a,"EVALUATED, NOT PROMOTED (n too small)","HISTORICAL (CPU DeBERTa, 2026-09-11)",C,assertion_span_primary_hypothesis remains OFF in production. 4/6 real cases changed verdict when verified against the assertion_spans-built hypothesis instead of the full sentence; one flip (NEI->CONTRADICTED) revealed a genuine generation error the diluted hypothesis had masked. Zero ENTAILED<->CONTRADICTED reversals (no safety-relevant flip). Not adopted purely due to sample size.
