figure_id,filename,title,purpose,source_csv,source_artifact,dataset,N,fresh_or_historical,metric_classification,statistical_test,p_value,gpu_dependency,interpretation,prohibited_interpretation
01,01_overall_metric_comparison.png,Original vs. Current -- Strongest Comparable Metrics,Show the strongest original-vs-current quantitative comparisons across heterogeneous metric types,01_overall_metric_comparison.csv,"step4/gold01_controlled/gold01_metrics.json; step4/gold02_synthetic/gold02_metrics.json; step6/209_paired/paired_209_metrics.json","209-paired natural; GOLD-01; GOLD-02","209 / 420 / 59",FRESH,"gold_metric + natural_metric (mixed, distinguished by color)",McNemar (for evidence coverage and GOLD-01 rows; see figures 02/08),see figure 08,No GPU used,Shows magnitude of improvement per metric; each metric is a distinct kind of measurement,Do not compare bar heights across categories as if they measure the same thing; natural evidence coverage is not verifier accuracy
02,02_evidence_coverage.png,Observed Evidence Coverage -- Natural-Data Metric-Only,Show the 209-paired and 588-claim evidence coverage headline result,02_evidence_coverage.csv,step6/209_paired/paired_209_metrics.json; step6/588_claims/claims_588_metrics.json,209-claim paired natural + 588-claim aggregate,209 / 588,FRESH,natural_metric (METRIC-ONLY),McNemar (continuity-corrected),0.000301,No GPU used,Evidence-v1 increased observed retrieval coverage on real paired claims with zero regressions,Do not read this as verifier accuracy or claim correctness
03,03_verdict_distribution.png,Verdict Distribution -- N=588 Natural Claims,Visualize the observed verifier-verdict counts on the 588-claim natural aggregate,03_verdict_distribution.csv,step6/588_claims/claims_588_metrics.json,588-claim natural aggregate,588,FRESH,natural_metric (descriptive),None,N/A,No GPU used,Describes how verifier verdicts are distributed on real claims,Do not treat verdict counts as correctness labels
04,04_correction_funnel.png,Correction Funnel -- Populations Kept Strictly Separate,Show the correction pipeline stages for 5 distinct populations without merging them,04_correction_funnel.csv,outputs/final_metrics.json; outputs/final_gpu_validation_metrics.json; outputs/labeled_correction_validation_gpu_metrics.json,"synthetic bare/labeled; natural targeted bare/labeled; natural cumulative","30-59 / 5-10 / 56",HISTORICAL,natural_metric (correction funnel),None,N/A,GPU-dependent (historical generation/correction),Describes funnel stage counts per population; synthetic and natural rates are never merged,Do not infer a single combined correction success rate across populations
05,05_correction_outcome.png,Correction Outcomes by Population,Show shipped/failed/scope-violation breakdown per population,05_correction_outcome.csv,outputs/final_metrics.json; outputs/final_gpu_validation_metrics.json; outputs/labeled_correction_validation_gpu_metrics.json,"synthetic bare/labeled; natural targeted bare/labeled; natural cumulative","30-59 / 5-10 / 56",HISTORICAL,natural_metric,None (n too small for targeted comparison),N/A,GPU-dependent (historical),Directional shift 0/5->1/10 targeted; 1/56 cumulative; not statistically established,Do not present 1/10 or 1/56 as a statistically validated rate
06,06_safety.png,Safety -- Unsafe Corrections Observed,Show observed safety-mechanism counts across the tested correction history,06_safety.csv,outputs/final_metrics.json; outputs/final_gpu_validation_metrics.json,all tested correction attempts,122 (56 natural + 66 synthetic),HISTORICAL,natural_metric (descriptive safety count),None,N/A,GPU-dependent (historical),0 unsafe corrections observed in the tested history,Do not convert 0 observed incidents into a safety probability or guarantee
07,07_confidence_distribution.png,Confidence Distribution -- 588-Claim Aggregate,Show mean/median verifier confidence per verdict on the 588-claim aggregate,07_confidence_distribution.csv,step6/588_claims/claims_588_metrics.json,588-claim natural aggregate (current config labeled framing),"5-390 per verdict",FRESH,natural_metric (descriptive),None,N/A,No GPU used (CPU DeBERTa),Describes the verifier's own statistical certainty per verdict category,Do not equate confidence with correctness
08,08_ablation_comparison.png,Ablation Evidence Strength by Grade,Communicate evidence grade (A-E) for each of the 8 ablation factors,08_ablation_comparison.csv,evaluation/ablation/ABLATION_SUMMARY.json,8 named ablation factors,varies,Mixed (2 FRESH REPRODUCTION/FRESH; 1 HISTORICAL REPRODUCTION; 2 HISTORICAL; 1 FRESH; 1 NOT_EXECUTED),mixed (gold_metric/natural_metric/behavior),McNemar (evidence_v1; premise_framing); exact sign test (claim_parser_fix),"3.01e-04; 4.16e-23; 3.12e-02 (see CSV for full list)",No GPU used for grading; underlying historical correction data is GPU-dependent,Grade communicates evidence strength (isolation + sample size + statistical support); Grade C is not equivalent to Grade A,No causal isolation is implied for the Grade E joint four-lever row -- that experiment does not exist
09,09_runtime_resource.png,Runtime / Resource -- Historical GPU vs. Fresh CPU,Show runtime/VRAM for historical GPU arms alongside the one fresh CPU arm,09_runtime_resource.csv,outputs/final_gpu_validation_metrics.json; outputs/final_metrics.json; step4/gold01_controlled/gold01_metrics.json,4 historical GPU arms + 1 fresh CPU arm,"50 / 59 / 420",Mixed (4 HISTORICAL GPU; 1 FRESH CPU),runtime/resource,None,N/A,4 of 5 rows are historical GPU-dependent; explicitly marked,Explicitly states NVIDIA GPU = NO and Qwen not executed on this machine,Do not imply the GPU rows were reproduced on the current machine
10,10_cumulative_natural_results.png,Cumulative Natural-Data Results Across All Regimes,Show observed evidence coverage across all 11 natural-data regimes side by side,10_cumulative_natural_results.csv,step6/209_paired; step6/588_claims; step6/batches/batches_analysis.json,209-paired + 588-claim + 8 batch regimes,29-588 per regime,Mixed (2 FRESH; 9 HISTORICAL),natural_metric (METRIC-ONLY),None,N/A,No GPU used for this tabulation; underlying batches are historically GPU-generated,Describes coverage per regime; regimes are never pooled into one number,Do not call this an accuracy measure or infer a trend not present in the CSV
11,11_synthetic_vs_natural_transfer.png,Synthetic vs. Natural Correction Shipping -- Different Populations Not Directly Equivalent,Explicitly show the non-equivalence between synthetic and natural correction shipping rates,11_synthetic_vs_natural_transfer.csv,outputs/final_metrics.json,GOLD-02-derived synthetic vs. natural cumulative,36 / 56,HISTORICAL,natural_metric + gold_metric (explicitly marked NOT comparable),None,N/A,GPU-dependent (historical),Two disjoint populations with different base rates by construction,Do not present 72.2% and 1.8% as measuring the same capability
