lever,change,baseline arm measured against,single-lever isolated?,result,evidence grade,statistical test,production status,caveat
premise_framing,bare -> labeled,O-CFG single-lever,YES,macro F1 0.7487 -> 0.9684 (n=420 GOLD),GOLD,McNemar exact p=1.578e-30,PROMOTED,99/100 of the gain is in ATTRIBUTED conditions (T05)
use_evidence_v1,false -> true,O-CFG single-lever,YES,coverage 0.6316 -> 0.7033 (n=209),HISTORICAL / METRIC_ONLY,McNemar exact p=6.104e-05,PROMOTED,Unlabelled natural data; coverage is a retrieval outcome
claim parser (codebase),0e37525 -> HEAD,O-CODE,"YES (parser isolated, pool fixed)",claims resolving to evidence 38 -> 57 (n=30 docs),DETERMINISTIC_SYNTHETIC,sign test p=0.0020,PROMOTED,The only experiment that measures the ORIGINAL CODEBASE
narrow_primary_hypothesis,false -> true,O-CFG single-lever,YES,GOLD-02: EXACTLY ZERO effect; natural GPU n=62: verdict shift only,MIXED,n=62 correction effect p~0.125 (not significant),PROMOTED,NULL on the gold-labelled set. Promoted on natural-data verdict behaviour.
atomic_scope_check,false -> assertion_spans,O-CFG single-lever,PARTIAL,1/11 historical scope violations unblocked,BEHAVIORAL (diagnostic),descriptive,PROMOTED,Weaker than the 4/6 finding that motivated it. Also silently toggles the sibling-regression gate (C-2).
narrow_reverification_hypothesis,false -> true,O-CFG single-lever,YES,n=3 cases; 0 ship/reject outcomes changed,BEHAVIORAL (diagnostic),none possible at n=3,PROMOTED,"Promoted on mechanism reasoning, not a measured outcome improvement"
assertion_span_primary_hypothesis,off -> on,O-CFG single-lever,YES,"4/6 verdicts changed (n=6, the entire population found)",BEHAVIORAL,none at n=6,NOT PROMOTED,"Sample size, not a found defect"
correction.assertion_aware,off -> on,LATEST single-lever,YES,0/10 shipped vs legacy 0/10,BEHAVIORAL (null result),none,NOT PROMOTED,"NULL RESULT, preserved as null"
fuzzy_method (BM25),jaccard -> bm25,LATEST single-lever,YES,3/9 adversarial correctly rejected vs Jaccard's 9/9,BEHAVIORAL,descriptive,REJECTED,Also unreachable from production - config key never read (D1)
fuzzy_method (embedding),jaccard -> embedding,LATEST single-lever,YES,2/9 adversarial correctly rejected vs Jaccard's 9/9,BEHAVIORAL,descriptive,REJECTED,Same as above
confidence_threshold,sweep 0.34-0.99,both arms,YES (descriptive),0.70 within 0.0023 (bare) / 0.0000 (labeled) of optimum; LATEST leads at EVERY threshold,GOLD (descriptive),none - descriptive sweep,UNCHANGED,Confirms the verifier result is not a threshold artifact
JOINT four/five-lever,all levers at once,O-CFG -> LATEST,N/A,NOT EXECUTED - does not exist anywhere in the project,E (NOT_ISOLABLE),none,NOT EXECUTED,"Four levers were flipped in ONE commit (100e263), so their joint effect is confounded. No additive or interaction effect is claimed anywhere in this package."
