document_id,ORIGINAL_0e37525_claims,ORIGINAL_0e37525_matched,INTERMEDIATE_223eb9d_claims,INTERMEDIATE_223eb9d_matched,LATEST_HEAD_claims,LATEST_HEAD_matched,LATEST_claims_with_assertion_text,LATEST_matched_with_v1_pool,delta_matched_original_to_latest
1992_534,4,2,4,2,4,2,4,2,0
2009_1385,1,0,1,1,1,1,1,1,1
2007_1517,5,0,7,1,7,1,7,1,1
2024_244,3,0,3,3,3,3,3,3,3
1987_609,1,0,1,0,1,0,1,0,0
1954_7,1,0,1,0,1,0,1,0,0
1996_772,3,0,4,2,4,2,4,2,2
1992_31,2,0,2,0,2,0,2,0,0
1994_650,0,0,0,0,0,0,0,0,0
2005_360,4,4,4,4,4,4,4,4,0
2005_128,1,0,1,0,1,0,1,0,0
1971_200,6,4,6,4,6,4,6,6,0
1982_43,4,0,4,0,4,0,4,0,0
2008_1494,1,0,1,0,1,0,1,0,0
1970_250,4,3,4,3,4,3,4,3,0
1971_379,2,2,2,2,2,2,2,2,0
1996_439,3,3,3,3,3,3,3,3,0
1987_597,1,0,1,1,1,1,1,1,1
2006_650,3,1,3,1,3,2,3,2,1
2003_967,2,1,2,1,2,1,2,2,0
1962_184,1,0,1,0,1,0,1,0,0
1989_184,4,0,6,4,6,4,6,4,4
1998_229,3,1,3,1,3,2,3,2,1
1952_17,4,3,4,3,4,3,4,4,0
1965_377,1,1,1,1,1,1,1,1,0
2008_2662,2,0,2,0,2,0,2,0,0
2004_632,6,6,6,6,6,6,6,6,0
2023_26,9,2,9,6,9,6,9,6,4
1991_582,3,1,3,1,3,2,3,2,1
2008_2648,4,4,4,4,4,4,4,4,0
