change_id,component,original_behavior,evidence_for_original,problem/failure,evidence_for_problem,modification (commit + file),latest_behavior,evidence_for_latest,status,experiment_that_measures_it,motivation_documented,evidence_grade,limitation,v2_fresh_result
CHG-01,Claim parser - run-on multi-act sentence (act-bleed),"CITATION_REGEX act group greedy up to the next '.'/';'; _trim_act_name returned only a string; scan continued from m.end(), so a second citation sitting inside the over-captured act clause was swallowed","0e37525 research/prototype/src/claim_parser.py (_trim_act_name, _find_full_form_acts, _citations_from_match)","IPC sections 120-B/471/477 got the merged two-act act_norm 'the Indian Penal Code and Section 5(2) ... Prevention of Corruption Act, 1947'; the POCA Section 1(d) citation was never emitted at all","research/prototype/outputs/assumption_annotation_summary.md 'Extraction bugs found' bug 1 (doc 2007_1517, A0006-A0010); research/prototype/tests/test_claim_parser_bugfixes.py::test_bug1_ipc_sections_do_not_merge_with_poca_act_name and ::test_bug1_poca_citation_recovered_not_lost","223eb9d research/prototype/src/claim_parser.py: _EMBEDDED_CITATION_RE, _trim_act_name -> (name, consumed_length), _iter_full_form_matches re-scans from end of TRIMMED act, earliest-cut-wins candidate choice",Each citation in a run-on sentence keeps its own clean act_norm; the embedded second citation is recovered as its own claim,"research/prototype/src/claim_parser.py @ fb4e98f (_iter_full_form_matches, _trim_act_name docstring)",PROMOTED_PRODUCTION,"research/prototype/outputs/parser_fix_before_after_n30.json (88->93 claims, 38->51 evidence-matched, 7->1 unresolved_act on the same n=30 real texts); research/prototype/results_phase3/tables/detailed_metrics/parser_metrics.csv (6 improved / 0 worsened, sign test p=0.031)","YES - commit 223eb9d 'Fix claim parsing, acronym normalization, evidence matching'; test docstring: 'Regression tests for the 15 claim-parser act-attribution bugs surfaced by the provisional assumption-annotation pass'",DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.","V2 FRESH (n=30 docs): claims resolving to evidence 38 (ORIGINAL 0e37525) -> 54 (223eb9d) -> 57 (LATEST HEAD); ORIGINAL->LATEST +10/-0 documents, sign test p=0.0020. The LATEST arm reproduces parser_fix_before_after_n30_v2_postfix.json exactly; the ORIGINAL arm reproduces 0e37525:outputs/eval_30_report.md exactly."
CHG-02,Claim parser - act-name trim heuristics (continuation verbs),_ACT_CONTINUATION_VERBS held only 3rd-person-singular verbs; first-match-wins trim order (year -> verb -> comma),"0e37525 research/prototype/src/claim_parser.py (_ACT_CONTINUATION_VERBS, _trim_act_name)","Plural-subject phrasing ('Sections 25 and 27 of the Arms Act require ...') and copula phrasing ('the Evidence Act is applicable, which prescribes ...') let the act capture run on into the rest of the sentence; the latter found in a NO_EVIDENCE root-cause diagnosis with 3 real occurrences",223eb9d + 100e263 in-code comments in src/claim_parser.py ('Missing these left the act-name capture running on into the rest of the sentence on this exact phrasing'; 'Found via NO_EVIDENCE root-cause diagnosis on real natural output (3 real occurrences)'); outputs/assumption_annotation_summary.md bug 3 (doc 1989_184),"223eb9d (base/plural forms) and 100e263 ('pertains'/'pertain', copulas is/are/was/were) research/prototype/src/claim_parser.py _ACT_CONTINUATION_VERBS","Act capture stops at plural, 'pertain' and copula continuations; cut candidates are earliest-wins, not fixed priority",research/prototype/src/claim_parser.py @ fb4e98f _ACT_CONTINUATION_VERBS / _trim_act_name,PROMOTED_PRODUCTION,research/prototype/outputs/parser_fix_before_after_n30.json (aggregate parser fix); research/prototype/outputs/no_evidence_diagnosis.json + scripts/diagnose_no_evidence.py (NO_EVIDENCE root-cause pass),YES - in-code comments quoted above,DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.","V2 FRESH (n=30 docs): claims resolving to evidence 38 (ORIGINAL 0e37525) -> 54 (223eb9d) -> 57 (LATEST HEAD); ORIGINAL->LATEST +10/-0 documents, sign test p=0.0020. The LATEST arm reproduces parser_fix_before_after_n30_v2_postfix.json exactly; the ORIGINAL arm reproduces 0e37525:outputs/eval_30_report.md exactly."
CHG-03,Claim parser - bare year mistaken for a provision number,"BARE_CITATION_REGEX emitted any '<keyword> <number>' pair, including 'Regulations 2000'",0e37525 research/prototype/src/claim_parser.py (extract_citations bare-citation loop),"'the Post Graduate Medical Education Regulations 2000' parsed as provision_type=Regulation, provision_number=2000 (the Act's own year), and its act was then wrongly field-wide-inherited as 'Constitution of India'","research/prototype/outputs/assumption_annotation_summary.md 'Extraction bugs found' bug 2 (doc 2003_967, A0050); tests/test_claim_parser_bugfixes.py bug-2 group",223eb9d research/prototype/src/claim_parser.py: _PLAUSIBLE_YEAR_RE applied only on the BARE_CITATION_REGEX path; act-name regex also extended to absorb a comma-less trailing year,"A bare '<keyword> YYYY' with no act clause of its own is dropped, never emitted as a citation",research/prototype/src/claim_parser.py @ fb4e98f (_PLAUSIBLE_YEAR_RE and its use in extract_citations),PROMOTED_PRODUCTION,research/prototype/outputs/parser_fix_before_after_n30.json (aggregate only; no lever-isolated experiment),YES - in-code comment plus the annotation-pass bug report cited,DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.","V2 FRESH (n=30 docs): claims resolving to evidence 38 (ORIGINAL 0e37525) -> 54 (223eb9d) -> 57 (LATEST HEAD); ORIGINAL->LATEST +10/-0 documents, sign test p=0.0020. The LATEST arm reproduces parser_fix_before_after_n30_v2_postfix.json exactly; the ORIGINAL arm reproduces 0e37525:outputs/eval_30_report.md exactly."
CHG-04,Claim parser - act resolution for bare citations,_sentence_level_act(sentence) resolved a bare citation only if the whole sentence contained exactly ONE distinct act; field-wide fallback applied when exactly one act existed anywhere in the field,"0e37525 research/prototype/src/claim_parser.py (_sentence_level_act, _unique_acts, extract_claims)","Field-wide single-act fallback overrode an explicit in-sentence act (doc 2023_26, A0073-A0080); truncated sub-spans of a full act name ('of the Code') counted as a second 'distinct act', making unambiguous sentences look ambiguous","research/prototype/outputs/assumption_annotation_summary.md bug 4; in-code comment in _find_bare_act_mentions ('inventing a second, spurious distinct act out of a citation that was already correctly parsed'); tests/test_claim_parser_bugfixes.py bug-4 group","223eb9d research/prototype/src/claim_parser.py: _sentence_level_act(sentence, citation_pos) = nearest PRECEDING act; exclude_spans for bare mentions; extract_claims gains 2-step inheritance (same provision number first, then whole-field single act)",Nearest-preceding same-sentence act wins; field-wide inheritance is 2-step and declines when ambiguous,"research/prototype/src/claim_parser.py @ fb4e98f (_sentence_level_act, extract_claims docstring)",PROMOTED_PRODUCTION,"research/prototype/outputs/parser_fix_before_after_n30.json (unresolved_act 7->1, act_norm_changed 33)",YES - in-code comments and the annotation-pass bug report,DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.","V2 FRESH (n=30 docs): claims resolving to evidence 38 (ORIGINAL 0e37525) -> 54 (223eb9d) -> 57 (LATEST HEAD); ORIGINAL->LATEST +10/-0 documents, sign test p=0.0020. The LATEST arm reproduces parser_fix_before_after_n30_v2_postfix.json exactly; the ORIGINAL arm reproduces 0e37525:outputs/eval_30_report.md exactly."
CHG-05,Claim parser - acronym / act-alias normalization,"normalize_act() only lowercased, stripped a leading 'The', stripped periods/commas and collapsed whitespace",0e37525 research/prototype/src/claim_parser.py normalize_act,"'IPC', 'CrPC', 'CPC', 'the Indian Penal Code (IPC)' and 'Evidence Act' never compared equal to the corpus's full act names, so real citations fell to NO_EVIDENCE ('Evidence Act' reaches only 0.5 token overlap, below the 0.8 threshold)",In-code comments on _KNOWN_ACT_ALIASES (223eb9d) and on the 'evidence act' alias (100e263: 'added via the same NO_EVIDENCE root-cause diagnosis ... 3 real occurrences'),223eb9d (aliases + _ABBREVIATION_PAREN_RE) and 100e263 ('evidence act') research/prototype/src/claim_parser.py normalize_act / _KNOWN_ACT_ALIASES,"A closed, symmetric alias table (applied to both claim and corpus act names via data_loader) plus parenthetical-gloss stripping",research/prototype/src/claim_parser.py @ fb4e98f normalize_act / _KNOWN_ACT_ALIASES,PROMOTED_PRODUCTION,research/prototype/outputs/parser_fix_before_after_n30.json (act_norm_changed=33; claims with usable evidence 38->51),YES - commit 223eb9d names 'acronym normalization'; docstring explains the symmetry requirement,DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.","V2 FRESH (n=30 docs): claims resolving to evidence 38 (ORIGINAL 0e37525) -> 54 (223eb9d) -> 57 (LATEST HEAD); ORIGINAL->LATEST +10/-0 documents, sign test p=0.0020. The LATEST arm reproduces parser_fix_before_after_n30_v2_postfix.json exactly; the ORIGINAL arm reproduces 0e37525:outputs/eval_30_report.md exactly."
CHG-06,Claim parser - 'Part <roman>' qualifier,"No handling of 'Section 304, Part II of the IPC'; 'Part' is Title-Case so it satisfied _BARE_ACT_MENTION_RE's first-word rule",0e37525 / 223eb9d research/prototype/src/claim_parser.py (CITATION_REGEX had no 'part' group),'Part II of the Indian Penal Code' was captured as if it were the ACT name; the Part-qualified citation's act came back unresolved and a later bare 'Section 34' in the same sentence inherited the polluted pseudo-act,"In-code comment on _PART_QUALIFIER_PATTERN: 'found via real natural-data audit, document 1991_110'","100e263 research/prototype/src/claim_parser.py (_PART_QUALIFIER_PATTERN, _PART_QUALIFIER_RE, part attached to subsection only when unambiguous)",The Part qualifier is consumed by the citation grammar and attached as subsection only when exactly one provision number is present; otherwise dropped rather than guessed,"research/prototype/src/claim_parser.py @ fb4e98f (_PART_QUALIFIER_PATTERN, extract_citations part handling)",PROMOTED_PRODUCTION,NONE (no dedicated artifact; covered only by unit tests and the aggregate n=30 reparse),YES - in-code comment naming the real document (1991_110),BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-07,Claim parser - trailing-abbreviation act binding ('Section 100 CrPC'),A bare citation followed by a bare acronym had no act signal; it fell through to the field-wide single-act fallback,223eb9d / 100e263 research/prototype/src/claim_parser.py extract_citations (bare path called _sentence_level_act only),"Reproduced case: '... Section 32 of the Indian Evidence Act, 1872. Section 100 CrPC also applies.' mis-resolved the CrPC citation to 'indian evidence act 1872' - the CrPC-vs-CPC Section 100 confusion category, from a new root cause",In-code comment above _TRAILING_ABBREV_TOKENS (adf54aa); commit adf54aa: 'resolve bare trailing-abbreviation citations (Section 100 CrPC) to their trusted alias act instead of falling through to a field-wide guess that could pick an unrelated Act',"adf54aa research/prototype/src/claim_parser.py (_TRAILING_ABBREV_TOKENS, _TRAILING_ABBREV_RE, priority over _sentence_level_act)","An adjacent IPC/CrPC/CPC acronym binds the citation to that already-trusted alias act, ahead of any sentence- or field-level guess",research/prototype/src/claim_parser.py @ fb4e98f (_TRAILING_ABBREV_RE use in extract_citations),PROMOTED_PRODUCTION,NONE (regression tests only: research/prototype/tests/test_adversarial_citations.py),YES - commit message + in-code comment,ENGINEERING,"Regression tests only - demonstrates the failure is blocked, but no data-batch measurement of how often it occurred in practice.",
CHG-08,Claim parser - Art./Arts. abbreviation recognition,_KEYWORD_PATTERN recognized only the full words Section/Article/Order/Rule/... and required whitespace between keyword and number,"6347c45 (immediately pre-fix) research/prototype/src/claim_parser.py _KEYWORD_PATTERN, CITATION_REGEX, BARE_CITATION_REGEX","'Art. 32' / 'Arts. 136' / 'Art.227' were not recognized; on one real generated paragraph citing 4 Articles extract_claims() returned 0 claims - every citation silently dropped, not flagged",commit c250a0e message; research/prototype/outputs/article_abbreviation_fix_impact_report.md; tests/test_article_abbreviation_bugfix.py,"c250a0e research/prototype/src/claim_parser.py (_ABBREVIATED_KEYWORD_TO_CANONICAL, _ABBREVIATED_KEYWORD_PATTERN 'Arts?\.', \s* instead of \s+, _normalize_provision_type rstrip('.'))","Art./Arts. (trailing period required, so the English word 'art' cannot match) map to canonical 'Article'; the number may follow with no space","research/prototype/src/claim_parser.py @ fb4e98f (_ABBREVIATED_KEYWORD_PATTERN, _normalize_provision_type)",PROMOTED_PRODUCTION,"research/prototype/outputs/article_abbreviation_fix_impact_report.md + article_abbreviation_fix_impact.json (181 real texts, pre-fix parser loaded via git show: 795->802 claims, 2/181 texts changed, 0 decreases, evidence-matched 531->532)",YES - commit c250a0e states both bugs and the measured impact,DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.",
CHG-09,Sentence splitting - abbreviation awareness,"split_sentences() split on every '.' + whitespace + capital/digit, with no abbreviation list",0e37525 research/prototype/src/claim_parser.py _SENTENCE_SPLIT_REGEX / split_sentences,"'...Art. 32 ... Art. 136...' was shattered into fragments separating each citation keyword from its own number, so the citation grammar could no longer read them (0 claims extracted from a real 4-Article paragraph)",commit c250a0e message (bug 1 of 2); in-code comment on _SENTENCE_BOUNDARY_ABBREVIATIONS; tests/test_article_abbreviation_bugfix.py,"c250a0e research/prototype/src/claim_parser.py (_SENTENCE_BOUNDARY_ABBREVIATIONS = ('Art.','Arts.') + merge step inside split_sentences)",Sentence splitting re-merges fragments broken at the two abbreviations actually observed in 181 real generated texts; S./Sec./Ss./O./r. deliberately NOT added (never occur in that corpus),research/prototype/src/claim_parser.py @ fb4e98f split_sentences,PROMOTED_PRODUCTION,research/prototype/outputs/article_abbreviation_fix_impact_report.md (same 181-text audit as CHG-08),"YES - commit message and in-code comment, both citing the 181-text scan",DETERMINISTIC_SYNTHETIC,"Deterministic re-execution over real generated text. 'Resolving to evidence' is a coverage outcome, NOT a correctness label - there are no gold extraction labels.",
CHG-10,Claim granularity - assertion_text (per-citation sub-span),A Claim carried only claim_text = the whole sentence; every citation in a bundled sentence shared it,0e37525 research/prototype/src/claim_parser.py Claim dataclass; src/pipeline.py generate_and_parse claim record,"On real NyayaRAG output one physical sentence routinely backs several claims, so (a) the scope check required the whole shared sentence to survive byte-for-byte and (b) the NLI hypothesis was diluted by sibling citations' content","config/prototype.yaml correction.atomic_scope_check comment ('4 of 6 genuine (non-no-op) edits blocked as scope violations were substantively valid fixes', citing outputs/natural_candidates_50_gpu_corrections_detail.jsonl); _assign_assertion_texts docstring","100e263 research/prototype/src/claim_parser.py (_assign_assertion_texts: semicolon split, ' while ' split, citation-keyword-boundary split, parenthetical-gloss span) + src/pipeline.py emits assertion_text per claim","Every claim carries a verbatim, contiguous assertion_text (falls back to the full sentence when no safe split applies); consumed by the scope check, re-verification and primary verification",research/prototype/src/claim_parser.py @ fb4e98f (_assign_assertion_texts); src/pipeline.py generate_and_parse,PROMOTED_PRODUCTION,research/prototype/outputs/atomic_scope_check_replay.md and atomic_scope_check_final_replay.md (all 11 real scope violations replayed: 1/11 unblocked); outputs/narrow_primary_hypothesis_benchmark_report.md (107/456 real claims have a narrower assertion_text),YES - config comment and function docstrings state the bundled-sentence motivation and cite the real batch,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
