Experiment,Quantity,Historical value,Fresh reproduction,Result,Source artifact
"209-claim paired generation, Arm A",claims evidence-matched,132,132,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm A",correction triggers,5,5,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm A",corrections shipped,0,0,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm A",unsafe corrections shipped,0,0,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm B",claims evidence-matched,147,147,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm B",correction triggers,5,5,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm B",corrections shipped,0,0,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
"209-claim paired generation, Arm B",unsafe corrections shipped,0,0,MATCH,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json
Targeted labeled-framing correction validation,cases triggered,10,10,MATCH,research/prototype/outputs/labeled_correction_validation_gpu_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json
Targeted labeled-framing correction validation,corrections shipped,1,1,MATCH,research/prototype/outputs/labeled_correction_validation_gpu_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json
Targeted labeled-framing correction validation,unsafe corrections shipped,0,0,MATCH,research/prototype/outputs/labeled_correction_validation_gpu_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json
