experiment,arm,metric,class,value,n_or_support,evidence_grade
GOLD-01,ORIGINAL,accuracy,,0.7333,420,GOLD
GOLD-01,ORIGINAL,macro_f1,,0.7487,420,GOLD
GOLD-01,ORIGINAL,precision,ENTAILED,0.9787,184,GOLD
GOLD-01,ORIGINAL,recall,ENTAILED,0.5000,184,GOLD
GOLD-01,ORIGINAL,f1,ENTAILED,0.6619,184,GOLD
GOLD-01,ORIGINAL,precision,CONTRADICTED,0.9537,118,GOLD
GOLD-01,ORIGINAL,recall,CONTRADICTED,0.8729,118,GOLD
GOLD-01,ORIGINAL,f1,CONTRADICTED,0.9115,118,GOLD
GOLD-01,ORIGINAL,precision,NOT_ENOUGH_INFORMATION,0.5183,118,GOLD
GOLD-01,ORIGINAL,recall,NOT_ENOUGH_INFORMATION,0.9576,118,GOLD
GOLD-01,ORIGINAL,f1,NOT_ENOUGH_INFORMATION,0.6726,118,GOLD
GOLD-01,LATEST,accuracy,,0.9714,420,GOLD
GOLD-01,LATEST,macro_f1,,0.9684,420,GOLD
GOLD-01,LATEST,precision,ENTAILED,0.9735,184,GOLD
GOLD-01,LATEST,recall,ENTAILED,1.0000,184,GOLD
GOLD-01,LATEST,f1,ENTAILED,0.9866,184,GOLD
GOLD-01,LATEST,precision,CONTRADICTED,0.9649,118,GOLD
GOLD-01,LATEST,recall,CONTRADICTED,0.9322,118,GOLD
GOLD-01,LATEST,f1,CONTRADICTED,0.9483,118,GOLD
GOLD-01,LATEST,precision,NOT_ENOUGH_INFORMATION,0.9744,118,GOLD
GOLD-01,LATEST,recall,NOT_ENOUGH_INFORMATION,0.9661,118,GOLD
GOLD-01,LATEST,f1,NOT_ENOUGH_INFORMATION,0.9702,118,GOLD
GOLD-02,ORIGINAL_config,contradiction_recall,,0.3559,59,DETERMINISTIC_SYNTHETIC
GOLD-02,framing_only,contradiction_recall,,0.4576,59,DETERMINISTIC_SYNTHETIC
GOLD-02,narrow_only,contradiction_recall,,0.3559,59,DETERMINISTIC_SYNTHETIC
GOLD-02,LATEST_config,contradiction_recall,,0.4576,59,DETERMINISTIC_SYNTHETIC
parser_n30,ORIGINAL_0e37525,claims_resolving_to_evidence,,38,88,DETERMINISTIC_SYNTHETIC
parser_n30,ORIGINAL_0e37525,claims_extracted,,88,30,DETERMINISTIC_SYNTHETIC
parser_n30,INTERMEDIATE_223eb9d,claims_resolving_to_evidence,,54,93,DETERMINISTIC_SYNTHETIC
parser_n30,INTERMEDIATE_223eb9d,claims_extracted,,93,30,DETERMINISTIC_SYNTHETIC
parser_n30,LATEST_HEAD,claims_resolving_to_evidence,,57,93,DETERMINISTIC_SYNTHETIC
parser_n30,LATEST_HEAD,claims_extracted,,93,30,DETERMINISTIC_SYNTHETIC
evidence_pool,ORIGINAL,usable_records,,59,-,DETERMINISTIC_SYNTHETIC
evidence_pool,ORIGINAL,distinct_acts,,10,-,DETERMINISTIC_SYNTHETIC
evidence_pool,LATEST,usable_records,,136,-,DETERMINISTIC_SYNTHETIC
evidence_pool,LATEST,distinct_acts,,22,-,DETERMINISTIC_SYNTHETIC
