metric_csv,purpose,source_artifact,dataset,n,fresh_or_historical,evidence_grade,caveat,generation_script
M01_headline_baseline_vs_modified.csv,Four strongest baseline-vs-modified comparisons on one 0-1 axis,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,GOLD-01 / GOLD-02 / 209-claim paired natural,420 / 59 / 209,FRESH,A,Heterogeneous metric types on a shared axis; bar heights are NOT interchangeable across categories. Natural evidence coverage is not accuracy.,Output_phase_3_vedant/scripts/build_metric_tables.py
M02_gold01_overall.csv,"GOLD-01 accuracy and macro F1, baseline (bare) vs modified (labeled)",research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,GOLD-01_controlled_verifier_benchmark,420,FRESH (CPU),A,"Curated controlled benchmark; hypotheses are mechanically constructed, not free-running generated claims.",Output_phase_3_vedant/scripts/build_metric_tables.py
M03_gold01_per_class.csv,GOLD-01 per-class precision / recall / F1 for both systems,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01_controlled_verifier_benchmark,420,FRESH (CPU),A,Precision/recall are legitimate here ONLY because GOLD-01 carries real per-item labels; no natural-data figure in this package uses them.,Output_phase_3_vedant/scripts/build_metric_tables.py
M04_gold01_confusion.csv,"GOLD-01 3x3 confusion matrices, baseline vs modified",research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json,GOLD-01_controlled_verifier_benchmark,420,FRESH (CPU),A,Counts are per-item verifier decisions against GOLD labels.,Output_phase_3_vedant/scripts/build_metric_tables.py
M05_gold02_synthetic_stress.csv,GOLD-02 synthetic stress-set contradiction recall and outcome split,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json,GOLD-02_synthetic_stress_set,59,FRESH (CPU),A,"Every record is CONTRADICTED by construction, so recall here is a detection-sensitivity measure on deliberately corrupted claims — it is not a natural-data accuracy figure.",Output_phase_3_vedant/scripts/build_metric_tables.py
M06_evidence_coverage_209_paired.csv,"Paired 209-claim evidence coverage, baseline v0 pool vs modified v0+v1 pool",research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,209_claim_paired_natural_evaluation,209,FRESH REPRODUCTION (CPU),A,Coverage = retrieval found a usable record. NOT a correctness or accuracy measure.,Output_phase_3_vedant/scripts/build_metric_tables.py
M06b_evidence_209_discordance.csv,McNemar discordant-pair counts behind the 209-claim coverage result,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json,209_claim_paired_natural_evaluation,209,FRESH REPRODUCTION (CPU),A,Paired binary event: claim received usable evidence.,Output_phase_3_vedant/scripts/build_metric_tables.py
M07_evidence_coverage_588_corpus.csv,"Corpus-level evidence coverage over all 588 pooled natural claims, v0 vs v0+v1",research/prototype/outputs/evidence_coverage_v0_vs_v1.json,588 pooled natural claims (all experiments),588,"HISTORICAL (corpus-level replay, CPU)",B,"Corpus-level, not a paired-arm experiment; complements the paired 209 result.",Output_phase_3_vedant/scripts/build_metric_tables.py
M08_verdict_distribution.csv,Verifier verdict distributions on natural claims,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,209-claim paired + 588-claim aggregate,209 / 588,FRESH (CPU),n/a (descriptive),"Verdict counts are the NLI model's own outputs, NOT correctness labels.",Output_phase_3_vedant/scripts/build_metric_tables.py
M09_premise_framing_natural_batches.csv,"Premise-framing effect on natural-data verdicts (batch1 n=251, batch2 n=236)",research/prototype/evaluation/actual_outputs/natural_data_runs/batches/batches_analysis.json,natural_candidates batch1 / batch2,251 / 236,HISTORICAL,B,"Same claims and same v0 evidence pool in each pair; only premise framing differs. Verdict shifts are decisiveness, not measured correctness.",Output_phase_3_vedant/scripts/build_metric_tables.py
